procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00034,Ministry of Defence (MOD) — Defence Equipment & Support,Federal/Defence,"Bristol, ENG",UK,Pest Control & Sanitation Services — Ministry of Defence (MOD),Pest Control & Sanitation,238320,"$5,000,000–$10,000,000",Coverall Holding Company,3 Years,2026-06-14,2026-09-03,2026-10-24,2025-01-31,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.gov.uk/government/organisations/defence-equipment-and-support,des-procurement@mod.gov.uk,+44 306 770 0000,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Manual scheduling of recurring services — automation ROI 300%+,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00040,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Custodial Services Contract — NHS Supply Chain,Janitorial & Custodial Services,561612,"$10,000,000–$25,000,000",Allied Universal Security Services,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-07-27,2026-11-04,2027-11-17,2025-10-19,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Allied Universal Security Services; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual scheduling of recurring services — automation ROI 300%+,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00044,City of Calgary — Purchasing,Municipal,"Calgary, AB",CA,Uniformed Security Guard Services — City of Calgary,Security Guard Services,561612,"$10,000,000–$25,000,000",Aramark Corporation,2 Years,2026-07-11,2026-11-10,2026-11-09,2025-11-24,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.calgary.ca/business-economy/purchasing.html,purchasing@calgary.ca,+1 (403) 268-5311,Primary: Aramark Corporation; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Paper timesheets — digital workforce management opportunity,"$15,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00045,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Pest Control & Sanitation Services — NHS Supply Chain,Pest Control & Sanitation,238320,"$500,000–$1,000,000",ServiceMaster Clean,5 Years + 2 Options,2026-06-16,2026-10-18,2028-04-30,2025-01-04,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: ServiceMaster Clean; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00049,Transport for NSW,Transit/Infrastructure,"Sydney, NSW",AU,Custodial Services Contract — Transport for NSW,Janitorial & Custodial Services,541512,"$150,000–$300,000",Manpower Group,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-06-29,2026-11-23,2026-09-22,2025-01-27,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.transport.nsw.gov.au/industry-and-business/procurement,procurement@transport.nsw.gov.au,+61 2 8202 2200,Primary: Manpower Group; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual scheduling of recurring services — automation ROI 300%+,"$7,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00051,Queensland Government — QTenders,State,"Brisbane, QLD",AU,IT Infrastructure & Managed Services Contract — Queensland Government,IT Infrastructure & Managed Services,561730,"$25,000,000+",Jacobs Engineering Group,1 Year + 4 Options,2026-09-08,2026-09-07,2026-10-30,2024-09-02,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://qtenders.epw.qld.gov.au,procurement@epw.qld.gov.au,+61 7 3224 2111,Primary: Jacobs Engineering Group; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Email-based bid notifications — automated alert system opportunity,"$10,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00053,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Pest Control & Sanitation Services — NHS Supply Chain,Pest Control & Sanitation,562111,"$500,000–$1,000,000",Securitas Security Services USA,5 Years,2026-08-21,2026-09-20,2028-03-10,2026-04-30,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Securitas Security Services USA; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00054,City of Melbourne — Procurement,Municipal,"Melbourne, VIC",AU,Records Management & Document Digitization Services — City of Melbourne,Records Management & Digitization,493110,"$25,000,000+",ManTech International,1 Year + 4 Options,2026-06-27,2026-11-10,2027-08-27,2024-08-28,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.melbourne.vic.gov.au/business/tenders-and-contracts,procurement@melbourne.vic.gov.au,+61 3 9658 9658,Primary: ManTech International; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual invoice processing — AI automation saves 40+ hours/month,"$7,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00055,Greater Vancouver Transit Authority (TransLink),Transit,"Burnaby, BC",CA,Pest Control & Sanitation Services — Greater Vancouver Transit Authority (TransLink),Pest Control & Sanitation,561720,"$5,000,000–$10,000,000",Waste Management Inc.,5 Years,2026-09-15,2026-08-27,2027-05-13,2025-04-18,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.translink.ca/about-translink/doing-business-with-translink,procurement@translink.ca,+1 (778) 375-7500,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00057,City of Toronto — Purchasing and Materials Management,Municipal,"Toronto, ON",CA,Custodial Services Contract — City of Toronto,Janitorial & Custodial Services,561720,"$2,500,000–$5,000,000",Stericycle Inc.,5 Years,2026-08-01,2026-07-29,2028-05-16,2026-03-29,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.toronto.ca/business-economy/doing-business-with-the-city/purchasing-and-materials-management/,purchasing@toronto.ca,+1 (416) 392-7312,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00065,City of Melbourne — Procurement,Municipal,"Melbourne, VIC",AU,Fleet Maintenance & Vehicle Repair Services — City of Melbourne,Fleet Maintenance & Vehicle Services,562111,"$10,000,000–$25,000,000",Xerox Corporation,2 Years,2026-07-21,2026-08-11,2027-04-25,2024-07-01,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.melbourne.vic.gov.au/business/tenders-and-contracts,procurement@melbourne.vic.gov.au,+61 3 9658 9658,Primary: Xerox Corporation; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00066,Greater Vancouver Transit Authority (TransLink),Transit,"Burnaby, BC",CA,Professional Consulting Services — Greater Vancouver Transit Authority (TransLink),Consulting & Professional Services,561710,"$1,000,000–$2,500,000",Clean Harbors Inc.,3 Years,2026-08-15,2026-10-08,2027-05-08,2024-11-10,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.translink.ca/about-translink/doing-business-with-translink,procurement@translink.ca,+1 (778) 375-7500,Primary: Clean Harbors Inc.; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$15,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00067,Queensland Government — QTenders,State,"Brisbane, QLD",AU,Grounds Maintenance & Landscaping Services — Queensland Government,Landscaping & Grounds Maintenance,484110,"$25,000,000+",Stericycle Inc.,3 Years,2026-08-16,2026-09-07,2027-05-02,2025-01-13,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://qtenders.epw.qld.gov.au,procurement@epw.qld.gov.au,+61 7 3224 2111,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00068,City of Toronto — Purchasing and Materials Management,Municipal,"Toronto, ON",CA,Records Management & Document Digitization Services — City of Toronto,Records Management & Digitization,561612,"$500,000–$1,000,000",Cintas Corporation,2 Years,2026-08-01,2026-10-18,2028-01-28,2025-03-14,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.toronto.ca/business-economy/doing-business-with-the-city/purchasing-and-materials-management/,purchasing@toronto.ca,+1 (416) 392-7312,Primary: Cintas Corporation; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Paper timesheets — digital workforce management opportunity,"$2,500/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00071,Province of British Columbia — BC Bid,Provincial,"Victoria, BC",CA,Grounds Maintenance & Landscaping Services — Province of British Columbia,Landscaping & Grounds Maintenance,541512,"$75,000–$150,000",SAIC (Science Applications International Corp.),Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-11,2026-10-26,2026-11-27,2024-07-14,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.bcbid.gov.bc.ca,bcbid@gov.bc.ca,+1 (250) 387-7000,Primary: SAIC (Science Applications International Corp.); Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Email-based bid notifications — automated alert system opportunity,"$50,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00073,City of Sydney — Procurement,Municipal,"Sydney, NSW",AU,Uniformed Security Guard Services — City of Sydney,Security Guard Services,493110,"$75,000–$150,000",Jacobs Engineering Group,5 Years + 2 Options,2026-08-03,2026-11-21,2028-04-06,2025-09-22,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.cityofsydney.nsw.gov.au/council/doing-business-with-us,procurement@cityofsydney.nsw.gov.au,+61 2 9265 9333,Primary: Jacobs Engineering Group; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Email-based bid notifications — automated alert system opportunity,"$15,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00078,Crown Commercial Service (CCS),Central Government,"Liverpool, ENG",UK,Professional Consulting Services — Crown Commercial Service (CCS),Consulting & Professional Services,561720,"$25,000,000+",ManTech International,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-07-07,2026-09-11,2027-11-14,2025-01-20,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.crowncommercial.gov.uk,info@crowncommercial.gov.uk,+44 345 410 2222,Primary: ManTech International; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Paper timesheets — digital workforce management opportunity,"$50,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00079,Toronto Transit Commission (TTC) — Procurement,Transit,"Toronto, ON",CA,Uniformed Security Guard Services — Toronto Transit Commission (TTC),Security Guard Services,541512,"$25,000–$75,000",Iron Mountain Inc.,1 Year + 4 Options,2026-09-04,2026-10-30,2027-12-10,2025-01-06,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.ttc.ca/doing-business-with-ttc,procurement@ttc.ca,+1 (416) 393-4000,Primary: Iron Mountain Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00080,London Borough of Southwark — Procurement,Municipal,"London, ENG",UK,Custodial Services Contract — London Borough of Southwark,Janitorial & Custodial Services,561730,"$2,500,000–$5,000,000",Pitney Bowes Inc.,2 Years,2026-06-23,2026-09-05,2027-02-13,2024-07-16,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.southwark.gov.uk/business/procurement,procurement@southwark.gov.uk,+44 207 525 5000,Primary: Pitney Bowes Inc.; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual scheduling of recurring services — automation ROI 300%+,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00084,Highways England (National Highways),Infrastructure,"Birmingham, ENG",UK,Temporary Staffing & Workforce Solutions — Highways England (National Highways),Staffing & Temporary Labor,561730,"$300,000–$500,000",Coverall Holding Company,1 Year,2026-06-25,2026-08-12,2026-11-11,2025-05-28,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://nationalhighways.co.uk/industry-information/procurement/,procurement@nationalhighways.co.uk,+44 300 123 5000,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Paper timesheets — digital workforce management opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00086,Province of Ontario — Ontario Shared Services,Provincial,"Toronto, ON",CA,Transportation & Logistics Services — Province of Ontario,Transportation & Logistics,493110,"$1,000,000–$2,500,000",Waste Management Inc.,2 Years,2026-07-15,2026-10-12,2027-11-01,2025-08-12,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.ontario.ca/page/doing-business-government,oss.procurement@ontario.ca,+1 (416) 326-1234,Primary: Waste Management Inc.; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$7,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00089,London Borough of Southwark — Procurement,Municipal,"London, ENG",UK,Electrical Maintenance & Repair Services — London Borough of Southwark,Electrical Services,541512,"$25,000–$75,000",Allied Universal Security Services,3 Years,2026-08-13,2026-10-23,2028-02-06,2026-01-28,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.southwark.gov.uk/business/procurement,procurement@southwark.gov.uk,+44 207 525 5000,Primary: Allied Universal Security Services; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$25,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00091,City of Toronto — Purchasing and Materials Management,Municipal,"Toronto, ON",CA,Construction & Facility Renovation Services — City of Toronto,Construction & Renovation,561720,"$5,000,000–$10,000,000",ServiceMaster Clean,3 Years,2026-07-11,2026-08-17,2027-07-25,2025-05-05,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.toronto.ca/business-economy/doing-business-with-the-city/purchasing-and-materials-management/,purchasing@toronto.ca,+1 (416) 392-7312,Primary: ServiceMaster Clean; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Email-based bid notifications — automated alert system opportunity,"$5,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00094,City of Calgary — Purchasing,Municipal,"Calgary, AB",CA,Transportation & Logistics Services — City of Calgary,Transportation & Logistics,493110,"$5,000,000–$10,000,000",Iron Mountain Inc.,2 Years,2026-06-29,2026-10-01,2027-04-09,2025-10-05,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.calgary.ca/business-economy/purchasing.html,purchasing@calgary.ca,+1 (403) 268-5311,Primary: Iron Mountain Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$5,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00096,City of Vancouver — Procurement Services,Municipal,"Vancouver, BC",CA,Professional Consulting Services — City of Vancouver,Consulting & Professional Services,561612,"$500,000–$1,000,000",SAIC (Science Applications International Corp.),1 Year,2026-07-17,2026-07-25,2028-05-14,2024-07-19,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://vancouver.ca/doing-business/procurement.aspx,procurement@vancouver.ca,+1 (604) 873-7000,Primary: SAIC (Science Applications International Corp.); Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$10,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00098,Transport for NSW,Transit/Infrastructure,"Sydney, NSW",AU,Construction & Facility Renovation Services — Transport for NSW,Construction & Renovation,541512,"$2,500,000–$5,000,000",Unknown/No Incumbent,1 Year + 4 Options,2026-08-19,2026-08-30,2027-09-11,2026-01-09,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.transport.nsw.gov.au/industry-and-business/procurement,procurement@transport.nsw.gov.au,+61 2 8202 2200,Primary: Unknown/No Incumbent; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00100,City of Melbourne — Procurement,Municipal,"Melbourne, VIC",AU,AI & Process Automation Implementation Services — City of Melbourne,AI & Automation Implementation,562111,"$25,000–$75,000",Jacobs Engineering Group,5 Years,2026-07-29,2026-09-08,2027-09-06,2025-06-19,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.melbourne.vic.gov.au/business/tenders-and-contracts,procurement@melbourne.vic.gov.au,+61 3 9658 9658,Primary: Jacobs Engineering Group; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00101,City of Toronto — Purchasing and Materials Management,Municipal,"Toronto, ON",CA,Public Works & Infrastructure Maintenance — City of Toronto,Public Works & Infrastructure,493110,"$500,000–$1,000,000",Jacobs Engineering Group,5 Years + 2 Options,2026-09-06,2026-08-14,2027-06-22,2025-04-22,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.toronto.ca/business-economy/doing-business-with-the-city/purchasing-and-materials-management/,purchasing@toronto.ca,+1 (416) 392-7312,Primary: Jacobs Engineering Group; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$15,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
