procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00028,California Department of Corrections (CDCR),State,"Sacramento, CA",US,Debris Removal & Waste Hauling Services — California Department of Corrections (CDCR),Debris Removal & Waste Management,562111,"$150,000–$300,000",Xerox Corporation,1 Year,2026-09-07,2026-11-19,2027-09-22,2025-04-10,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.cdcr.ca.gov/procurement/,cdcr.procurement@cdcr.ca.gov,(916) 445-7682,Primary: Xerox Corporation; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Paper timesheets — digital workforce management opportunity,"$15,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00032,California Department of Education (CDE),State,"Sacramento, CA",US,Grounds Maintenance & Landscaping Services — California Department of Education (CDE),Landscaping & Grounds Maintenance,484110,"$25,000–$75,000",Waste Management Inc.,5 Years + 2 Options,2026-06-14,2026-08-05,2026-10-01,2025-11-14,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.cde.ca.gov/re/di/oi/,cde.procurement@cde.ca.gov,(916) 319-0800,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual scheduling of recurring services — automation ROI 300%+,"$2,500/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00035,California Department of General Services (DGS),State,"Sacramento, CA",US,Records Management & Document Digitization Services — California Department of General Services (DGS),Records Management & Digitization,561612,"$500,000–$1,000,000",Kforce Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-23,2026-08-05,2027-12-30,2026-03-04,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.dgs.ca.gov/PD,dgs.procurement@dgs.ca.gov,(916) 376-5000,Primary: Kforce Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Email-based bid notifications — automated alert system opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00036,Sacramento County — Purchasing Division,County,"Sacramento, CA",US,Healthcare Facility Support Services — Sacramento County,Healthcare Support Services,561612,"$1,000,000–$2,500,000",Parsons Corporation,1 Year + 4 Options,2026-09-12,2026-10-14,2027-10-31,2025-03-08,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.saccounty.gov/departments/purchasing,purchasing@saccounty.gov,(916) 875-6060,Primary: Parsons Corporation; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Spreadsheet-based vendor management — CRM integration opportunity,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00039,California Department of Transportation (Caltrans),State,"Sacramento, CA",US,Temporary Staffing & Workforce Solutions — California Department of Transportation (Caltrans),Staffing & Temporary Labor,541513,"$1,000,000–$2,500,000",Cintas Corporation,5 Years,2026-08-23,2026-10-25,2026-11-26,2024-06-22,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://dot.ca.gov/programs/construction/contractor-resources,caltrans.contracts@dot.ca.gov,(916) 654-5266,Primary: Cintas Corporation; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00041,California Department of Transportation (Caltrans),State,"Sacramento, CA",US,Electrical Maintenance & Repair Services — California Department of Transportation (Caltrans),Electrical Services,561720,"$500,000–$1,000,000",Republic Services Inc.,1 Year,2026-06-19,2026-07-22,2027-05-07,2025-12-27,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://dot.ca.gov/programs/construction/contractor-resources,caltrans.contracts@dot.ca.gov,(916) 654-5266,Primary: Republic Services Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00042,Alameda County — GSA Purchasing,County,"Oakland, CA",US,Temporary Staffing & Workforce Solutions — Alameda County,Staffing & Temporary Labor,561710,"$25,000–$75,000",Allied Universal Security Services,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-19,2026-10-14,2027-12-20,2025-11-16,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://gsa.acgov.org/purchasing/,purchasing@acgov.org,(510) 208-9600,Primary: Allied Universal Security Services; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Paper timesheets — digital workforce management opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00043,Port of Los Angeles,Port Authority,"Los Angeles, CA",US,Temporary Staffing & Workforce Solutions — Port of Los Angeles,Staffing & Temporary Labor,561720,"$25,000–$75,000",Parsons Corporation,1 Year + 4 Options,2026-07-10,2026-11-18,2027-12-05,2025-09-05,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.portoflosangeles.org/business/procurement,procurement@portla.org,(310) 732-3508,Primary: Parsons Corporation; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$7,500/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00046,Alameda County — GSA Purchasing,County,"Oakland, CA",US,Public Works & Infrastructure Maintenance — Alameda County,Public Works & Infrastructure,561730,"$1,000,000–$2,500,000",Fluor Corporation,3 Years,2026-07-04,2026-10-13,2028-03-17,2026-02-22,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://gsa.acgov.org/purchasing/,purchasing@acgov.org,(510) 208-9600,Primary: Fluor Corporation; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$7,500/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00052,Port of Oakland,Port Authority,"Oakland, CA",US,Construction & Facility Renovation Services — Port of Oakland,Construction & Renovation,541513,"$500,000–$1,000,000",Leidos Holdings Inc.,1 Year + 4 Options,2026-07-18,2026-08-04,2026-10-08,2024-07-22,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.portofoakland.com/business/procurement/,procurement@portofoakland.com,(510) 627-1100,Primary: Leidos Holdings Inc.; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$15,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00056,Sacramento County — Purchasing Division,County,"Sacramento, CA",US,HVAC Maintenance & Mechanical Services — Sacramento County,HVAC & Mechanical Services,493110,"$500,000–$1,000,000",Fluor Corporation,5 Years,2026-08-17,2026-10-25,2026-11-26,2024-10-05,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.saccounty.gov/departments/purchasing,purchasing@saccounty.gov,(916) 875-6060,Primary: Fluor Corporation; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Paper timesheets — digital workforce management opportunity,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00060,City of Fairfield — Purchasing,Municipal,"Fairfield, CA",US,HVAC Maintenance & Mechanical Services — City of Fairfield,HVAC & Mechanical Services,561720,"$2,500,000–$5,000,000",Leidos Holdings Inc.,5 Years,2026-09-26,2026-08-21,2028-01-11,2025-06-15,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.fairfieldplanroom.com/projects/public,purchasing@fairfield.ca.gov,(707) 428-7495,Primary: Leidos Holdings Inc.; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$50,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00061,California Department of Corrections (CDCR),State,"Sacramento, CA",US,Pest Control & Sanitation Services — California Department of Corrections (CDCR),Pest Control & Sanitation,493110,"$1,000,000–$2,500,000",Cintas Corporation,2 Years,2026-09-25,2026-09-27,2027-08-03,2024-09-05,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.cdcr.ca.gov/procurement/,cdcr.procurement@cdcr.ca.gov,(916) 445-7682,Primary: Cintas Corporation; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Spreadsheet-based vendor management — CRM integration opportunity,"$25,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00064,Solano County — Purchasing Services,County,"Fairfield, CA",US,Professional Consulting Services — Solano County,Consulting & Professional Services,561710,"$75,000–$150,000",Manpower Group,1 Year + 4 Options,2026-07-09,2026-07-16,2026-09-17,2024-12-30,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.solanocounty.com/depts/csa/purchasing/,purchasing@solanocounty.com,(707) 784-6100,Primary: Manpower Group; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Paper timesheets — digital workforce management opportunity,"$2,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00072,City of Vacaville — Administrative Services,Municipal,"Vacaville, CA",US,Fleet Maintenance & Vehicle Repair Services — City of Vacaville,Fleet Maintenance & Vehicle Services,561730,"$10,000,000–$25,000,000",CACI International,3 Years,2026-08-03,2026-09-29,2026-11-23,2026-01-16,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.cityofvacaville.com/departments/administrative-services,purchasing@cityofvacaville.com,(707) 449-5100,Primary: CACI International; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Paper timesheets — digital workforce management opportunity,"$15,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00075,Los Angeles Unified School District (LAUSD),School District,"Los Angeles, CA",US,Electrical Maintenance & Repair Services — Los Angeles Unified School District (LAUSD),Electrical Services,541512,"$300,000–$500,000",Waste Management Inc.,5 Years,2026-09-05,2026-10-07,2026-09-12,2026-02-04,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://achieve.lausd.net/Page/1068,procurement@lausd.net,(213) 241-1000,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$2,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00076,Alameda County — GSA Purchasing,County,"Oakland, CA",US,Fleet Maintenance & Vehicle Repair Services — Alameda County,Fleet Maintenance & Vehicle Services,561730,"$300,000–$500,000",Leidos Holdings Inc.,5 Years + 2 Options,2026-08-07,2026-09-02,2027-11-02,2024-06-19,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://gsa.acgov.org/purchasing/,purchasing@acgov.org,(510) 208-9600,Primary: Leidos Holdings Inc.; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Email-based bid notifications — automated alert system opportunity,"$7,500/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00077,City of Fairfield — Purchasing,Municipal,"Fairfield, CA",US,Uniformed Security Guard Services — City of Fairfield,Security Guard Services,238320,"$300,000–$500,000",Parsons Corporation,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-06-17,2026-11-19,2027-03-09,2024-09-02,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.fairfieldplanroom.com/projects/public,purchasing@fairfield.ca.gov,(707) 428-7495,Primary: Parsons Corporation; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00081,City of Vacaville — Administrative Services,Municipal,"Vacaville, CA",US,Temporary Staffing & Workforce Solutions — City of Vacaville,Staffing & Temporary Labor,493110,"$1,000,000–$2,500,000",Leidos Holdings Inc.,1 Year,2026-09-16,2026-10-08,2026-09-29,2025-04-12,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.cityofvacaville.com/departments/administrative-services,purchasing@cityofvacaville.com,(707) 449-5100,Primary: Leidos Holdings Inc.; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual scheduling of recurring services — automation ROI 300%+,"$25,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00083,Solano County — Purchasing Services,County,"Fairfield, CA",US,HVAC Maintenance & Mechanical Services — Solano County,HVAC & Mechanical Services,562111,"$500,000–$1,000,000",Jacobs Engineering Group,3 Years + 2 Options,2026-09-21,2026-09-03,2027-01-27,2024-11-09,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.solanocounty.com/depts/csa/purchasing/,purchasing@solanocounty.com,(707) 784-6100,Primary: Jacobs Engineering Group; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$50,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00087,Port of Los Angeles,Port Authority,"Los Angeles, CA",US,AI & Process Automation Implementation Services — Port of Los Angeles,AI & Automation Implementation,238320,"$25,000,000+",Securitas Security Services USA,1 Year + 4 Options,2026-07-03,2026-09-07,2026-12-20,2024-08-02,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://www.portoflosangeles.org/business/procurement,procurement@portla.org,(310) 732-3508,Primary: Securitas Security Services USA; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Email-based bid notifications — automated alert system opportunity,"$15,000/mo",MEDIUM — 60-Day Pipeline,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00090,City of Benicia — Finance Department,Municipal,"Benicia, CA",US,Uniformed Security Guard Services — City of Benicia,Security Guard Services,541512,"$5,000,000–$10,000,000",Coverall Holding Company,1 Year,2026-08-21,2026-08-16,2027-07-22,2024-07-11,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://procurement.opengov.com/portal/embed/beniciaca/project-list,JTschudi@ci.benicia.ca.us,(707) 746-4225,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Spreadsheet-based vendor management — CRM integration opportunity,"$15,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00095,City of Vacaville — Administrative Services,Municipal,"Vacaville, CA",US,Public Works & Infrastructure Maintenance — City of Vacaville,Public Works & Infrastructure,561730,"$10,000,000–$25,000,000",Leidos Holdings Inc.,1 Year,2026-06-20,2026-08-13,2027-07-23,2024-11-20,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.cityofvacaville.com/departments/administrative-services,purchasing@cityofvacaville.com,(707) 449-5100,Primary: Leidos Holdings Inc.; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$5,000/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00104,Bay Area Rapid Transit (BART),Transit Authority,"Oakland, CA",US,Debris Removal & Waste Hauling Services — Bay Area Rapid Transit (BART),Debris Removal & Waste Management,484110,"$500,000–$1,000,000",Manpower Group,5 Years + 2 Options,2026-07-02,2026-11-01,2027-02-07,2025-05-05,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.bart.gov/about/business/bids,procurement@bart.gov,(510) 464-6000,Primary: Manpower Group; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00106,Port of Los Angeles,Port Authority,"Los Angeles, CA",US,HVAC Maintenance & Mechanical Services — Port of Los Angeles,HVAC & Mechanical Services,541513,"$2,500,000–$5,000,000",Cintas Corporation,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-06-29,2026-11-17,2026-11-25,2025-06-08,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.portoflosangeles.org/business/procurement,procurement@portla.org,(310) 732-3508,Primary: Cintas Corporation; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00113,San Francisco Municipal Transportation Agency (SFMTA),Transit Authority,"San Francisco, CA",US,HVAC Maintenance & Mechanical Services — San Francisco Municipal Transportation Agency (SFMTA),HVAC & Mechanical Services,562111,"$25,000–$75,000",CACI International,2 Years,2026-06-15,2026-07-25,2027-04-07,2025-08-30,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.sfmta.com/about-sfmta/procurement,procurement@sfmta.com,(415) 701-4500,Primary: CACI International; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$25,000/mo",HIGH — Prepare in 30 Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00117,San Francisco Municipal Transportation Agency (SFMTA),Transit Authority,"San Francisco, CA",US,Electrical Maintenance & Repair Services — San Francisco Municipal Transportation Agency (SFMTA),Electrical Services,484110,"$2,500,000–$5,000,000",Local Independent Vendor,3 Years,2026-08-23,2026-08-04,2027-01-10,2025-03-04,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.sfmta.com/about-sfmta/procurement,procurement@sfmta.com,(415) 701-4500,Primary: Local Independent Vendor; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00121,California Department of General Services (DGS),State,"Sacramento, CA",US,Debris Removal & Waste Hauling Services — California Department of General Services (DGS),Debris Removal & Waste Management,541512,"$150,000–$300,000",Unknown/No Incumbent,3 Years,2026-09-10,2026-07-21,2026-10-17,2026-02-14,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.dgs.ca.gov/PD,dgs.procurement@dgs.ca.gov,(916) 376-5000,Primary: Unknown/No Incumbent; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual scheduling of recurring services — automation ROI 300%+,"$7,500/mo",WATCH — 90+ Days,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00124,Sacramento County — Purchasing Division,County,"Sacramento, CA",US,Food Services & Catering Contract — Sacramento County,Food Services & Catering,238320,"$1,000,000–$2,500,000",ManTech International,3 Years,2026-06-26,2026-11-13,2027-01-13,2025-05-20,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.saccounty.gov/departments/purchasing,purchasing@saccounty.gov,(916) 875-6060,Primary: ManTech International; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
