procurement_id,issuing_agency,agency_type,agency_location,country,contract_title,contract_category,naics_code,estimated_contract_value,incumbent_vendor,contract_duration,bid_open_date,bid_close_date,renewal_date,last_award_date,submission_requirements,procurement_portal,contact_email,contact_phone,vendor_dependencies,operational_weakness,automation_opportunity,recurring_revenue_potential,prime_pathwy_priority,data_date,source
PROC-00035,California Department of General Services (DGS),State,"Sacramento, CA",US,Records Management & Document Digitization Services — California Department of General Services (DGS),Records Management & Digitization,561612,"$500,000–$1,000,000",Kforce Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-23,2026-08-05,2027-12-30,2026-03-04,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.dgs.ca.gov/PD,dgs.procurement@dgs.ca.gov,(916) 376-5000,Primary: Kforce Inc.; Secondary: Regional subcontractors,Contract approaching renewal — 90-day window to position,Email-based bid notifications — automated alert system opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00037,City of Chicago — Department of Procurement Services,Municipal,"Chicago, IL",US,Temporary Staffing & Workforce Solutions — City of Chicago,Staffing & Temporary Labor,238320,"$5,000,000–$10,000,000",Iron Mountain Inc.,1 Year,2026-06-19,2026-09-26,2028-05-07,2025-12-24,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://chicago.gov/city/en/depts/dps.html,dps@cityofchicago.org,(312) 744-4900,Primary: Iron Mountain Inc.; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00042,Alameda County — GSA Purchasing,County,"Oakland, CA",US,Temporary Staffing & Workforce Solutions — Alameda County,Staffing & Temporary Labor,561710,"$25,000–$75,000",Allied Universal Security Services,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-19,2026-10-14,2027-12-20,2025-11-16,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://gsa.acgov.org/purchasing/,purchasing@acgov.org,(510) 208-9600,Primary: Allied Universal Security Services; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Paper timesheets — digital workforce management opportunity,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00045,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Pest Control & Sanitation Services — NHS Supply Chain,Pest Control & Sanitation,238320,"$500,000–$1,000,000",ServiceMaster Clean,5 Years + 2 Options,2026-06-16,2026-10-18,2028-04-30,2025-01-04,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: ServiceMaster Clean; Secondary: Regional subcontractors,Incumbent lacks digital reporting capability — tech upgrade opportunity,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00053,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Pest Control & Sanitation Services — NHS Supply Chain,Pest Control & Sanitation,562111,"$500,000–$1,000,000",Securitas Security Services USA,5 Years,2026-08-21,2026-09-20,2028-03-10,2026-04-30,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Securitas Security Services USA; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00055,Greater Vancouver Transit Authority (TransLink),Transit,"Burnaby, BC",CA,Pest Control & Sanitation Services — Greater Vancouver Transit Authority (TransLink),Pest Control & Sanitation,561720,"$5,000,000–$10,000,000",Waste Management Inc.,5 Years,2026-09-15,2026-08-27,2027-05-13,2025-04-18,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.translink.ca/about-translink/doing-business-with-translink,procurement@translink.ca,+1 (778) 375-7500,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00056,Sacramento County — Purchasing Division,County,"Sacramento, CA",US,HVAC Maintenance & Mechanical Services — Sacramento County,HVAC & Mechanical Services,493110,"$500,000–$1,000,000",Fluor Corporation,5 Years,2026-08-17,2026-10-25,2026-11-26,2024-10-05,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.saccounty.gov/departments/purchasing,purchasing@saccounty.gov,(916) 875-6060,Primary: Fluor Corporation; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Paper timesheets — digital workforce management opportunity,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00057,City of Toronto — Purchasing and Materials Management,Municipal,"Toronto, ON",CA,Custodial Services Contract — City of Toronto,Janitorial & Custodial Services,561720,"$2,500,000–$5,000,000",Stericycle Inc.,5 Years,2026-08-01,2026-07-29,2028-05-16,2026-03-29,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.toronto.ca/business-economy/doing-business-with-the-city/purchasing-and-materials-management/,purchasing@toronto.ca,+1 (416) 392-7312,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00064,Solano County — Purchasing Services,County,"Fairfield, CA",US,Professional Consulting Services — Solano County,Consulting & Professional Services,561710,"$75,000–$150,000",Manpower Group,1 Year + 4 Options,2026-07-09,2026-07-16,2026-09-17,2024-12-30,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.solanocounty.com/depts/csa/purchasing/,purchasing@solanocounty.com,(707) 784-6100,Primary: Manpower Group; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Paper timesheets — digital workforce management opportunity,"$2,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00065,City of Melbourne — Procurement,Municipal,"Melbourne, VIC",AU,Fleet Maintenance & Vehicle Repair Services — City of Melbourne,Fleet Maintenance & Vehicle Services,562111,"$10,000,000–$25,000,000",Xerox Corporation,2 Years,2026-07-21,2026-08-11,2027-04-25,2024-07-01,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://www.melbourne.vic.gov.au/business/tenders-and-contracts,procurement@melbourne.vic.gov.au,+61 3 9658 9658,Primary: Xerox Corporation; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Manual route optimization for service delivery — AI routing saves 20% fuel cost,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00077,City of Fairfield — Purchasing,Municipal,"Fairfield, CA",US,Uniformed Security Guard Services — City of Fairfield,Security Guard Services,238320,"$300,000–$500,000",Parsons Corporation,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-06-17,2026-11-19,2027-03-09,2024-09-02,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.fairfieldplanroom.com/projects/public,purchasing@fairfield.ca.gov,(707) 428-7495,Primary: Parsons Corporation; Secondary: Regional subcontractors,Agency has documented compliance failures — audit-readiness opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00080,London Borough of Southwark — Procurement,Municipal,"London, ENG",UK,Custodial Services Contract — London Borough of Southwark,Janitorial & Custodial Services,561730,"$2,500,000–$5,000,000",Pitney Bowes Inc.,2 Years,2026-06-23,2026-09-05,2027-02-13,2024-07-16,"Bid Form, Unit Price Schedule, Subcontractor List, DBE Compliance Plan",https://www.southwark.gov.uk/business/procurement,procurement@southwark.gov.uk,+44 207 525 5000,Primary: Pitney Bowes Inc.; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual scheduling of recurring services — automation ROI 300%+,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00084,Highways England (National Highways),Infrastructure,"Birmingham, ENG",UK,Temporary Staffing & Workforce Solutions — Highways England (National Highways),Staffing & Temporary Labor,561730,"$300,000–$500,000",Coverall Holding Company,1 Year,2026-06-25,2026-08-12,2026-11-11,2025-05-28,"RFP Response, Financial Statements, References (3), Insurance Certificates, Business License",https://nationalhighways.co.uk/industry-information/procurement/,procurement@nationalhighways.co.uk,+44 300 123 5000,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Paper timesheets — digital workforce management opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00088,Department of Veterans Affairs (VA),Federal,"Washington, DC",US,Uniformed Security Guard Services — Department of Veterans Affairs (VA),Security Guard Services,238320,"$10,000,000–$25,000,000",Local Independent Vendor,1 Year,2026-09-18,2026-09-16,2027-11-22,2025-06-01,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.va.gov/opal/sac/,vabidding@va.gov,(202) 461-7000,Primary: Local Independent Vendor; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Spreadsheet-based vendor management — CRM integration opportunity,"$50,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00092,City of Phoenix — Procurement Division,Municipal,"Phoenix, AZ",US,HVAC Maintenance & Mechanical Services — City of Phoenix,HVAC & Mechanical Services,541512,"$300,000–$500,000",Republic Services Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-08-19,2026-08-20,2027-12-31,2024-09-22,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.phoenix.gov/finance/vendorsupplier,procurement@phoenix.gov,(602) 262-7181,Primary: Republic Services Inc.; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Paper timesheets — digital workforce management opportunity,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00104,Bay Area Rapid Transit (BART),Transit Authority,"Oakland, CA",US,Debris Removal & Waste Hauling Services — Bay Area Rapid Transit (BART),Debris Removal & Waste Management,484110,"$500,000–$1,000,000",Manpower Group,5 Years + 2 Options,2026-07-02,2026-11-01,2027-02-07,2025-05-05,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.bart.gov/about/business/bids,procurement@bart.gov,(510) 464-6000,Primary: Manpower Group; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$5,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00108,Toronto Transit Commission (TTC) — Procurement,Transit,"Toronto, ON",CA,Custodial Services Contract — Toronto Transit Commission (TTC),Janitorial & Custodial Services,561612,"$150,000–$300,000",Recall Holdings,1 Year + 4 Options,2026-08-13,2026-09-22,2027-09-01,2026-01-27,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.ttc.ca/doing-business-with-ttc,procurement@ttc.ca,+1 (416) 393-4000,Primary: Recall Holdings; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Manual invoice processing — AI automation saves 40+ hours/month,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00110,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,HVAC Maintenance & Mechanical Services — NHS Supply Chain,HVAC & Mechanical Services,541512,"$10,000,000–$25,000,000",Coverall Holding Company,3 Years,2026-08-11,2026-09-22,2027-09-10,2024-06-03,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Coverall Holding Company; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Spreadsheet-based vendor management — CRM integration opportunity,"$2,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00117,San Francisco Municipal Transportation Agency (SFMTA),Transit Authority,"San Francisco, CA",US,Electrical Maintenance & Repair Services — San Francisco Municipal Transportation Agency (SFMTA),Electrical Services,484110,"$2,500,000–$5,000,000",Local Independent Vendor,3 Years,2026-08-23,2026-08-04,2027-01-10,2025-03-04,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.sfmta.com/about-sfmta/procurement,procurement@sfmta.com,(415) 701-4500,Primary: Local Independent Vendor; Secondary: Regional subcontractors,Agency failed last audit — compliance consulting opportunity,Paper timesheets — digital workforce management opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00120,Department of Homeland Security (DHS),Federal,"Washington, DC",US,Environmental Compliance & Remediation Services — Department of Homeland Security (DHS),Environmental Compliance Services,484110,"$2,500,000–$5,000,000",Waste Management Inc.,5 Years,2026-07-22,2026-07-18,2027-07-08,2024-11-25,"SOQ (Statement of Qualifications), MWBE Certification, Safety Record, Insurance",https://www.dhs.gov/procurement,dhsbidding@dhs.gov,(202) 282-8000,Primary: Waste Management Inc.; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Spreadsheet-based vendor management — CRM integration opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00124,Sacramento County — Purchasing Division,County,"Sacramento, CA",US,Food Services & Catering Contract — Sacramento County,Food Services & Catering,238320,"$1,000,000–$2,500,000",ManTech International,3 Years,2026-06-26,2026-11-13,2027-01-13,2025-05-20,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.saccounty.gov/departments/purchasing,purchasing@saccounty.gov,(916) 875-6060,Primary: ManTech International; Secondary: Regional subcontractors,Incumbent vendor has poor performance reviews — displacement opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00125,Department of Defense (DoD) — DIBBS,Federal,"Washington, DC",US,Construction & Facility Renovation Services — Department of Defense (DoD),Construction & Renovation,541513,"$5,000,000–$10,000,000",Booz Allen Hamilton,2 Years,2026-07-03,2026-09-30,2027-09-15,2024-09-15,"Technical Proposal, Price Schedule, Organizational Chart, Key Personnel Resumes",https://dibbs.bsm.dla.mil,dodprocurement@dla.mil,(703) 767-6666,Primary: Booz Allen Hamilton; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual invoice processing — AI automation saves 40+ hours/month,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00130,Department of Defense (DoD) — DIBBS,Federal,"Washington, DC",US,Healthcare Facility Support Services — Department of Defense (DoD),Healthcare Support Services,541512,"$1,000,000–$2,500,000",Unknown/No Incumbent,3 Years,2026-07-09,2026-09-02,2027-07-26,2025-04-16,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://dibbs.bsm.dla.mil,dodprocurement@dla.mil,(703) 767-6666,Primary: Unknown/No Incumbent; Secondary: Regional subcontractors,Incumbent pricing 30%+ above market — cost reduction opportunity,Manual contract renewal tracking — automated renewal system opportunity,"$7,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00131,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Uniformed Security Guard Services — NHS Supply Chain,Security Guard Services,561720,"$5,000,000–$10,000,000",Regional Service Provider,1 Year,2026-07-25,2026-10-18,2028-04-04,2025-12-31,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Regional Service Provider; Secondary: Regional subcontractors,New agency director — procurement philosophy shift expected,Manual contract renewal tracking — automated renewal system opportunity,"$2,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00139,Department of Homeland Security (DHS),Federal,"Washington, DC",US,IT Infrastructure & Managed Services Contract — Department of Homeland Security (DHS),IT Infrastructure & Managed Services,493110,"$2,500,000–$5,000,000",Recall Holdings,3 Years + 2 Options,2026-07-08,2026-11-10,2026-09-20,2025-05-10,"RFQ Response, DUNS/SAM Registration, Bonding Proof, W-9, Past Performance",https://www.dhs.gov/procurement,dhsbidding@dhs.gov,(202) 282-8000,Primary: Recall Holdings; Secondary: Regional subcontractors,Incumbent contract expires with no renewal option — open competition,Paper-based compliance tracking — digitization opportunity worth $50K+/yr,"$10,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00142,NHS Supply Chain,Healthcare,"Alfreton, ENG",UK,Debris Removal & Waste Hauling Services — NHS Supply Chain,Debris Removal & Waste Management,562111,"$25,000,000+",Stericycle Inc.,Indefinite Delivery/Indefinite Quantity (IDIQ),2026-07-06,2026-10-01,2027-12-02,2025-06-27,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.nhssupplychain.nhs.uk,enquiries@nhssupplychain.nhs.uk,+44 345 600 8600,Primary: Stericycle Inc.; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Email-based bid notifications — automated alert system opportunity,"$2,500/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00145,City of Sydney — Procurement,Municipal,"Sydney, NSW",AU,Public Works & Infrastructure Maintenance — City of Sydney,Public Works & Infrastructure,562111,"$5,000,000–$10,000,000",G4S Secure Solutions,2 Years,2026-08-16,2026-09-09,2028-05-10,2026-01-24,"RFP Response, ISO 9001 Certification, Environmental Compliance Documentation",https://www.cityofsydney.nsw.gov.au/council/doing-business-with-us,procurement@cityofsydney.nsw.gov.au,+61 2 9265 9333,Primary: G4S Secure Solutions; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual invoice processing — AI automation saves 40+ hours/month,"$25,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00152,Birmingham City Council — Procurement,Municipal,"Birmingham, ENG",UK,IT Infrastructure & Managed Services Contract — Birmingham City Council,IT Infrastructure & Managed Services,484110,"$150,000–$300,000",Allied Universal Security Services,1 Year,2026-07-07,2026-08-24,2027-07-08,2025-03-28,"Online Portal Registration, Capability Statement, GSA Schedule Number",https://www.birmingham.gov.uk/procurement,procurement@birmingham.gov.uk,+44 121 303 9944,Primary: Allied Universal Security Services; Secondary: Regional subcontractors,Agency has budget surplus in Q4 — accelerated procurement window,Manual contract renewal tracking — automated renewal system opportunity,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
PROC-00155,Toronto Transit Commission (TTC) — Procurement,Transit,"Toronto, ON",CA,Custodial Services Contract — Toronto Transit Commission (TTC),Janitorial & Custodial Services,561730,"$300,000–$500,000",Manpower Group,5 Years,2026-06-14,2026-10-16,2027-12-11,2025-06-14,"Bid Bond (5%), Performance Bond (100%), Payment Bond (100%), NAICS Certification",https://www.ttc.ca/doing-business-with-ttc,procurement@ttc.ca,+1 (416) 393-4000,Primary: Manpower Group; Secondary: Regional subcontractors,Agency issued corrective action to incumbent — replacement opportunity,Manual invoice processing — AI automation saves 40+ hours/month,"$15,000/mo",CRITICAL — Bid Now,2026-05-29,Prime Pathwy Procurement Intelligence Engine v2.0
