business_name,business_name2,business_name3,business_name4,business_name5,business_name6,business_name7,business_name8,Target Priority,Column9,Column10,Column11,Column12
Eds Delivery Napa,[verify],(707) 373-4854,"750 Jacob Ct, Napa, CA 94558",Napa County,Logistics Fleet,Weak,"Established in 2013, specializes in wine and wine product delivery.",Tier 1 (Highest Priority — Weak Digital Footprint),,,,
JNS LLC,[verify],707-967-4845,"ST HELENA, CA, 94574",Napa County,Logistics Fleet,Weak,Listed as an auto transport carrier.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Jackson Street Wine Warehouse,[verify],[verify],"[verify] Napa, CA",Napa County,Logistics Fleet,Weak,Offers pickup and delivery service within the local Napa and Sonoma Valley. Simple case and pallet pick up and delivery to restaurants and local businesses.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
Hire My Husband,[verify],[verify],"Benicia, CA [verify]",Solano County,Industrial Painting,Weak,Women-owned & operated. Offers customized solutions. Efficient painting crew.,Tier 1 (Highest Priority — Weak Digital Footprint),,,,
"J & J's Final Coat Painting, Inc.",Jill and Joe Sabel,(925) 405-6970,"[verify] Martinez, CA",Contra Costa County,Commercial Painting,Moderate,Offers interior and exterior painting services to residential and commercial clients. License: 630408.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
J. Allan Chausse Painting Company,J. Allan Chausse,650-400-4885,"3555 Skylark Dr, Concord, CA 94520, USA",Contra Costa County,Commercial Painting,Moderate,Specializes in transforming interiors and exteriors. Focuses on residential and commercial painting. Need to confirm industrial painting services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Paintmasters,David Miles,(925) 399-1975,"[verify] Martinez, CA",Contra Costa County,Commercial Painting,Moderate,Provides interior and exterior painting services for residential and commercial clients. Established in 1992. License: 637262.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Steve Roberts Painting,Steve Roberts,(925) 233-6115,"[verify] Martinez, CA",Contra Costa County,Commercial Painting,Moderate,Provides interior and exterior painting services for residential and commercial clients. Established in 1991. License: 590533.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
"Blackhawk Painting, Inc.",[verify],(707) 451-7872,"821 Eubanks Dr. Ste A, Vacaville, CA 95688",Contra Costa County,Industrial Painting,Moderate,Provides commercial and industrial painting throughout Northern California and Nevada for over 30 years. CA LIC # 765490.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
CAL INC,David Esparza,(800) 359-4467,"2040 Peabody Road, Suite 400, Vacaville, CA USA 95687",Contra Costa County,Industrial Painting,Moderate,"Certified Minority-Owned Business (MBE). General Contractor License No. 657754. Serves Richmond, Antioch, Martinez, Concord, Walnut Creek, Oakland, etc.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Commercial Painting Inc.,[verify],(669) 877-2468,"2780 Aiello Drive, San Jose, California 95111, United States",Contra Costa County,Industrial Painting,Moderate,"Provides professional, high-quality painting and surface solutions for commercial, industrial, and residential properties in Concord. License # 1087688.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Richmond Metal Painting,[verify],[verify],"1095 Broadway Ave, San Pablo, CA 94806",Contra Costa County,Industrial Painting,Moderate,"Premier industrial coater. Offers liquid and powder coating, sand blasting, custom masking, and aqueous immersion cleaning.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
"S & S Painting and Coatings, Inc.",Greg Severs,[verify],"[verify] Martinez, CA",Contra Costa County,Industrial Painting,Moderate,"Provides exterior and interior painting services for residential, commercial, and industrial clients. Established in 1978. License: 646957.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Bay Area Delivery Services,[verify],[verify],"Concord, CA",Contra Costa County,Logistics Fleet,Moderate,Delivery services based in Concord.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
BirdDog Delivery,[verify],[verify],"Roseville, CA",Contra Costa County,Logistics Fleet,Moderate,"Delivery services. Located in Roseville, but serves Contra Costa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
California Legal Express,[verify],[verify],"San Francisco, CA",Contra Costa County,Logistics Fleet,Moderate,"Legal courier service. Located in San Francisco, but serves Contra Costa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Diaz Hauling,[verify],[verify],"Richmond, CA",Contra Costa County,Logistics Fleet,Moderate,"Hauling services, likely operates a fleet of trucks.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
GBE Deliveries,[verify],[verify],"Hayward, CA",Contra Costa County,Logistics Fleet,Moderate,"Courier and delivery services. Located in Hayward, but serves Contra Costa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Modern Express,[verify],(510) 444-6245,"750 4th St, Oakland, CA 94607",Contra Costa County,Logistics Fleet,Moderate,"Courier and delivery services. Located in Oakland, but serves Contra Costa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
One Hour Delivery Service,[verify],[verify],"Walnut Creek, CA",Contra Costa County,Logistics Fleet,Moderate,Delivery services based in Walnut Creek.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Redline Courier Service,[verify],[verify],"Sacramento, CA",Contra Costa County,Logistics Fleet,Moderate,"Courier and delivery services. Located in Sacramento, but serves Contra Costa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Trustee Logistics,[verify],[verify],"Walnut Creek, CA",Contra Costa County,Logistics Fleet,Moderate,Appears to be a logistics company. Located near Concord.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Green Valley Painting,[verify],(707) 963-3386,"1300 Vintage Ave, St. Helena, CA 94574",Napa County,Industrial Painting,Moderate,"Family-owned & operated, locally owned & operated. Yelp Guaranteed, Verified License. Offers residential and commercial painting services. Based in St. Helena.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
JLM Painting,[verify],(707) 782-3652,"275 Water St, Petaluma, CA 94952",Napa County,Industrial Painting,Moderate,"Painting contractors in Petaluma, CA specializing in interior, exterior, commercial and HOA painting. Serves Sonoma, Marin and San Francisco Counties. License #996299.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Napco Painting Contractors Inc.,[verify] Joe,(707) 255-4359,"2310 Laurel Street, Suite 7, Napa, CA 94559",Napa County,Industrial Painting,Moderate,Pioneering Two Decades of Excellence in Eco-Friendly Painting. Offers Commercial Painting Services and Estate & Facility Maintenance.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
PaintPros Of Napa Valley,Kenneth Van Houten [verify],(707) 285-7755,"1758 Industrial Way, Suite 203, Napa, CA 94558",Napa County,Industrial Painting,Moderate,"Provides high quality and long lasting painting services in the Napa Valley. Offers interior, exterior, and cabinet painting for residential and commercial projects. CA License #1036473.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Allens Hauling,Patrick,(707) 252-4373,"151 Randolph, Napa, CA 94559",Napa County,Junk Removal,Moderate,"Family-owned & operated, over 30 years in Napa Valley. Offers customized solutions.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Fast Eddie,Eddie,(707) 815-1901,"3721 Norfolk St, Napa, CA 94558",Napa County,Junk Removal,Moderate,Locally owned & operated. Also offers moving and packing services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Napa Valley Hauling,[verify],(707) 312-8103,"3055 Jefferson St, Ste 4, Napa, CA 94558",Napa County,Junk Removal,Moderate,Locally owned & operated. Offers residential and commercial services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
PJ’s Junk Removal,[verify],(707) 656-9208,"[verify], Vallejo, CA 94590",Napa County,Junk Removal,Moderate,Locally owned & operated. Estate clean up specialist.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Quick Haul,[verify],(707) 582-8672,"[verify], American Canyon, CA [verify]",Napa County,Junk Removal,Moderate,Locally owned & operated. Budget friendly.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Simplify Hauling,[verify],(415) 685-9041,"[verify], American Canyon, CA 94589",Napa County,Junk Removal,Moderate,Locally owned & operated. Offers dumpster rental and customized solutions.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Muvr (St. Helena),[verify],[verify],"[verify] St. Helena, CA",Napa County,Logistics Fleet,Moderate,Connects users with insured professionals for same-day courier service in St. Helena.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
PCT Logistics,"T.J. O'Doan (Owner), Tony Becerra (Napa Terminal Manager)",1-707-690-3161,"80 Technology Ct #11, Napa, CA 94558-7519",Napa County,Logistics Fleet,Moderate,"Specializes in wine transport, full-service refrigerated LTL, serves Northern California, Oregon, and Washington.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Sprint Courier Services,[verify],707-544-3634,"350 E. Todd Rd. Santa Rosa, CA 95407 [verify - Santa Rosa is outside Napa County, but they serve Napa]",Napa County,Logistics Fleet,Moderate,"Offers same-day delivery, rush delivery, legal courier, medical courier, dedicated route drivers, freight services, and warehousing. Serves Napa and surrounding areas.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Wardlaw Trucking,Corey W.,(707) 226-1336,"15 Edith Ct, Napa, CA 94558",Napa County,Logistics Fleet,Moderate,"Transfer dump truck service, provides quarry direct delivery of bulk landscape materials and construction aggregates.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Aiden's Quality Painting,Noel P.,(707) 917-0354,"Vacaville, CA [verify]",Solano County,Industrial Painting,Moderate,"Licensed professional painting company (License Number 992655). Bonded and insured. Specializes in exterior and interior painting, wallpaper installation, deck and porch painting. Strong online presence with photos and reviews.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
All Access Painting,Steve T.,(707) 862-8702,"Fairfield, CA [verify]",Solano County,Industrial Painting,Moderate,"Residential and commercial painting services. Offers exterior painting, interior painting, deck or porch, fencing, siding, trim or molding, exterior staining, wall texturing, wallpaper removal. Dependable, honest, and top-notch with a focus on quality and attention to detail.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Bill Taylor Painting,[verify],(209) 625-5768,"Vallejo, CA [verify]",Solano County,Industrial Painting,Moderate,"Verified License. Specializes in attention to detail, paints Victorian homes. Offers exterior and interior painting. Accepts Zelle, PayPal, credit cards. ASL proficient.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Cotter Painting,Jon C.,(530) 307-1460,"Vallejo, CA [verify]",Solano County,Industrial Painting,Moderate,"Trusted painting service founded in 2014. Specializes in high-quality, professional painting for residential and commercial properties. Committed to excellence, ensuring a smooth, clean, and lasting finish.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Friendly Painting,[verify],[verify],"Vacaville, CA [verify]",Solano County,Industrial Painting,Moderate,Committed to satisfaction. Positive reviews for accommodating quick timelines and quality work.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Green Valley Painting,Ian L.,(707) 864-6864,"Fairfield, CA 94534",Solano County,Industrial Painting,Moderate,"Commercial and residential interior and exterior painting, licensed general contractors, drywall services. Accepts credit cards, Zelle, Venmo. Verified license.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Gryder Painting,Randy Gryder,[verify],"Benicia, CA [verify]",Solano County,Industrial Painting,Moderate,"Professional interior and exterior painting services for both residential and commercial buildings. Randy Gryder (owner) is professional, on time and offers color assistance. Known for thorough prep work.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Hobson Painting & Coatings,[verify],[verify],"Benicia, CA [verify]",Solano County,Industrial Painting,Moderate,Provides high quality painting and coatings. Received positive reviews for handling challenging projects like lead paint and asbestos siding.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
MS Painting,Marcos S.,(707) 410-3583,"Vacaville, CA [verify]",Solano County,Industrial Painting,Moderate,"Verified License. Offers exterior and interior painting. Accepts credit cards, Zelle, Venmo, Cash App. Known for professionalism, punctuality, and quality work.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Ramirez Painting,Junior Ramirez,(707) 450-8360,"Suisun City, CA [verify]",Solano County,Industrial Painting,Moderate,"Specializes in residential interior and exterior painting. Offers drywall work, cabinet painting, stucco services, epoxy flooring. Recognized for professionalism, reliability, and customer satisfaction. Meticulous prep work and excellent craftsmanship.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Vicondoa Painting,[verify],(707) 685-2458,"Vacaville, CA [verify]",Solano County,Industrial Painting,Moderate,"Painters, Pressure Washers, Drywall Installation & Repair. Services include exterior painting, exterior staining, interior painting, interior staining, wall finish installation or replacement. Accepts Zelle, Venmo, credit cards, PayPal.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
3 Kings Hauling & More,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
"All Types of Hauling, Junk and Debris Removal",[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Allens Hauling,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Best Bet Hauling,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Carrillos Family Junk Removal,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
John\'s Hauling,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
No Limit Hauling and Junk Removal,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Rays Hauling,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Ready Now Junk Removal,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
SacValley Junk Removal Services,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Solano County Hauling,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Tony\'s Junk Removal,[verify],[verify],"[verify], Solano County, CA [verify]",Solano County,Junk Removal,Moderate,Found via Yelp search for Solano County junk removal.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
AAA Courier,[verify],(707) 446-6967,"155 Tahoe Dr, Vacaville, CA 95687",Solano County,Logistics Fleet,Moderate,Couriers & Delivery Services. Vacaville based.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
BSB Transport,Brian Bates,(541) 244-2429,"106 Gatehouse Ct, Vacaville, CA 95687",Solano County,Logistics Fleet,Moderate,"Vehicle Shipping, Movers.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Benjamin's Transfer Inc.,[verify],(707) 678-1996,"7000 Button Lane, Dixon, CA 95620",Solano County,Logistics Fleet,Moderate,"Family-owned California trucking company. Needs address and phone verification, and confirmation of local independence.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Button Transportation,[verify],(707) 678-1983,"7000 Button Lane, Dixon, CA 95620",Solano County,Logistics Fleet,Moderate,"Family-owned California trucking company. Needs address and phone verification, and confirmation of local independence.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Fasttruck Delivery Service,[verify],(510) 375-7996,"738 Beechwood Ave, Vallejo, CA 94591",Solano County,Logistics Fleet,Moderate,"Delivery service. Needs address and phone verification, and confirmation of local independence.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
G & C Trucking,[verify],(415) 297-3797,"1108 Windsurf Ct, Fairfield, CA 94533",Solano County,Logistics Fleet,Moderate,"Trucking and Moving company. Needs address and phone verification, and confirmation of local independence. Verify if they focus on freight or just moving.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Godspeed Courier,[verify],[verify],"[verify], Vallejo, CA",Solano County,Logistics Fleet,Moderate,Courier service. Needs verification for local independence and specific services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
McBride’s Delivery,[verify],[verify],"[verify], Vacaville, CA",Solano County,Logistics Fleet,Moderate,Delivery service. Needs verification for local independence and specific services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Modern Express,[verify],[verify],"[verify], Vallejo, CA",Solano County,Logistics Fleet,Moderate,Courier and delivery service. Needs verification for local independence and specific services.,Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Rapid Express Courier Systems,[verify],707-526-7633,"[verify], Vallejo, CA",Solano County,Logistics Fleet,Moderate,"Courier Service. Needs address and phone verification, and confirmation of local independence.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Yandell Truckaway,[verify],(877) 750-0012,"360 Industrial Court, Benicia, CA 94510",Solano County,Logistics Fleet,Moderate,"Trucking company. Needs address and phone verification, and confirmation of local independence.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
Left Coast Painting,Dennis B. [verify],(707) 478-9150,"1413 Montana Place, Rohnert Park, CA",Sonoma County,Industrial Painting,Moderate,"Premier winery painting company. 25+ years experience. Licensed & Insured. Serves Sonoma, Napa, Mendocino, and Lake Counties. Primary location in Rohnert Park, serves Napa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
M.D.’s Quality Painting,Michael Gerard Dehnert,707.539.1222,"1900 Brushcreek Road, Santa Rosa, CA 95404",Sonoma County,Industrial Painting,Moderate,"Premier Commercial, and Industrial Painting Contractor for the greater Napa County California area. CA License #575693. Bonded and Insured. Primary location in Santa Rosa, serves Napa County.",Tier 2 (Medium Priority — Moderate Digital Footprint),,,,
