Region,Metric,AI & Automation Consulting,Accounting & Financial Services,Commercial Hauling & Debris Removal,Construction & General Contracting,Electrical Contracting,Environmental Compliance & Remediation,Fleet Logistics & Transportation,HVAC & Mechanical Services,Healthcare Facility Services,IT Infrastructure & Managed Services,Industrial Painting & Coatings,Janitorial & Facilities Maintenance,Landscaping & Grounds Maintenance,Legal & Compliance Services,Marketing & Digital Services,Pest Control & Sanitation,Plumbing & Water Systems,Records Management & Digitization,Security Services & Guard Staffing,Staffing & Workforce Solutions
Greater Sydney,Entity Count,4,1,2,6,4,3,5,3,3,3,8,4,3,7,4,6,3,0,9,5
Greater Sydney,Avg AI Score,65.5,65.0,82.0,60.8,83.8,70.7,56.2,85.0,58.0,72.7,73.5,85.2,73.7,80.9,58.2,71.2,53.0,0,66.2,83.4
Greater Toronto Area,Entity Count,3,0,2,8,6,5,10,7,3,4,6,4,3,6,2,2,5,2,7,1
Greater Toronto Area,Avg AI Score,82.7,0,80.5,66.4,81.0,68.4,75.8,73.9,74.0,64.0,78.3,84.0,48.0,59.5,42.5,60.0,69.6,51.5,68.0,79.0
Harris County,Entity Count,4,2,4,2,6,2,3,4,3,5,4,3,6,2,2,2,6,5,3,4
Harris County,Avg AI Score,76.5,71.5,79.2,54.5,63.5,69.5,77.3,83.8,81.0,55.0,63.8,70.7,60.3,74.0,74.0,55.0,69.8,73.0,77.0,63.8
King County,Entity Count,2,3,0,4,2,1,4,3,1,5,5,1,5,6,2,5,5,1,0,1
King County,Avg AI Score,77.5,77.3,0,63.2,69.5,58.0,80.5,67.7,55.0,64.8,76.0,53.0,63.8,72.0,43.5,74.8,64.0,56.0,0,84.0
Los Angeles County,Entity Count,2,2,4,5,1,2,2,7,2,2,3,3,3,5,6,2,3,4,2,3
Los Angeles County,Avg AI Score,79.0,94.5,72.0,63.8,69.0,91.0,65.5,65.1,48.0,55.0,61.7,75.0,70.3,60.0,69.5,43.0,82.0,54.5,65.0,59.3
Maricopa County,Entity Count,6,5,3,2,1,3,4,3,2,8,5,4,4,0,5,4,4,4,6,6
Maricopa County,Avg AI Score,84.8,77.4,67.3,57.5,46.0,61.7,67.8,75.7,84.5,65.9,73.0,81.8,69.0,0,68.4,58.8,84.8,60.8,57.2,62.3
Marin County,Entity Count,8,3,1,6,1,3,2,1,5,1,2,3,4,4,5,3,5,6,2,6
Marin County,Avg AI Score,83.6,89.0,96.0,61.8,68.0,69.0,70.0,99.0,68.0,94.0,67.5,87.7,70.8,64.0,66.4,53.7,75.8,69.2,68.5,74.0
Metro Vancouver,Entity Count,1,6,8,5,1,2,9,1,4,3,7,4,7,2,7,4,6,3,3,3
Metro Vancouver,Avg AI Score,50.0,77.7,68.0,75.8,66.0,86.5,59.6,84.0,76.5,91.0,65.1,62.2,71.9,90.0,71.9,62.8,63.3,69.3,57.3,58.0
Miami-Dade County,Entity Count,5,2,7,6,1,8,4,4,3,1,3,6,1,3,4,3,4,7,4,6
Miami-Dade County,Avg AI Score,70.2,75.0,78.0,76.8,60.0,71.4,62.8,75.2,55.7,52.0,58.0,80.7,52.0,66.7,50.0,73.7,61.5,70.4,60.8,72.2
Napa County,Entity Count,3,2,5,3,5,3,3,2,5,3,1,2,4,4,3,4,6,5,1,2
Napa County,Avg AI Score,70.7,77.0,65.2,75.3,69.4,53.7,62.7,87.5,51.6,56.7,76.0,64.0,81.0,72.5,92.7,64.8,63.0,60.8,61.0,81.5
Orange County,Entity Count,8,3,1,3,2,2,3,9,1,2,4,3,3,2,3,2,2,3,1,6
Orange County,Avg AI Score,57.4,86.7,56.0,62.0,62.5,70.5,55.3,63.8,54.0,69.5,67.2,56.7,68.0,64.5,60.7,46.0,85.5,68.3,88.0,64.5
Sacramento County,Entity Count,6,3,4,4,6,6,4,0,5,2,5,3,1,5,6,3,3,3,3,2
Sacramento County,Avg AI Score,81.0,78.3,66.8,54.8,64.3,60.0,84.2,0,67.6,72.5,72.4,72.3,65.0,81.2,71.7,60.0,70.3,61.0,76.0,76.0
San Diego County,Entity Count,2,3,1,3,7,2,2,6,4,3,3,2,5,4,4,4,4,3,2,1
San Diego County,Avg AI Score,70.0,64.0,49.0,58.0,66.4,61.5,89.5,61.0,63.2,66.7,67.0,89.0,68.4,60.5,54.0,67.2,63.2,69.3,51.5,93.0
San Francisco County,Entity Count,3,2,3,4,5,3,4,3,3,2,2,3,3,4,6,4,3,4,2,4
San Francisco County,Avg AI Score,57.3,80.0,58.3,72.8,78.6,48.3,66.5,64.0,60.0,84.5,61.0,64.3,69.7,83.8,74.2,74.5,65.0,83.8,68.0,79.8
Solano County,Entity Count,4,5,5,3,2,4,1,5,8,2,5,6,5,2,4,3,2,5,4,4
Solano County,Avg AI Score,67.8,54.4,58.6,67.0,76.5,74.0,94.0,73.2,75.0,84.5,71.0,65.8,57.4,52.5,58.0,56.7,95.0,67.2,63.0,77.8
Sonoma County,Entity Count,4,2,2,8,3,2,5,4,0,4,1,4,3,5,3,7,1,2,3,4
Sonoma County,Avg AI Score,70.2,68.5,74.5,80.0,78.7,93.0,74.6,76.5,0,63.0,89.0,73.8,78.7,71.4,76.3,75.0,64.0,70.0,47.3,65.5
Wayne County,Entity Count,1,4,5,4,5,2,8,3,4,4,3,3,1,4,3,2,2,1,7,3
Wayne County,Avg AI Score,88.0,57.2,62.0,64.8,72.8,75.0,80.5,51.3,66.5,66.5,72.3,81.3,60.0,76.8,51.7,88.0,45.5,40.0,76.7,71.0
West Midlands,Entity Count,4,5,5,1,5,7,0,1,7,4,3,8,5,4,1,2,4,2,9,4
West Midlands,Avg AI Score,65.5,72.2,67.8,75.0,58.8,78.9,0,65.0,69.6,71.5,73.0,75.5,66.4,81.8,99.0,69.5,67.0,53.0,66.1,62.5
