source,target,relationship_type,weight,operational_dependency_level,recurring_revenue_relevance,monetization_potential,contract_value,renewal_date,prime_pathwy_priority
VENDOR-Xerox_Corporation,AGENCY-California_Department_of_,vendor_to_agency,0.771,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-09-22,HIGH — Prepare in 30 Days
VENDOR-CACI_International,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.716,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-12-11,MEDIUM — 60-Day Pipeline
VENDOR-Aramark_Corporation,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.618,High,High,Direct — Contract Displacement,"$25,000,000+",2028-03-31,HIGH — Prepare in 30 Days
VENDOR-Stericycle_Inc.,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.931,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-05-28,CRITICAL — Bid Now
VENDOR-Waste_Management_Inc.,AGENCY-California_Department_of_,vendor_to_agency,0.643,High,High,Direct — Contract Displacement,"$25,000–$75,000",2026-10-01,WATCH — 90+ Days
VENDOR-Republic_Services_Inc.,AGENCY-Toronto_Transit_Commissio,vendor_to_agency,0.835,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-11-21,CRITICAL — Bid Now
VENDOR-Coverall_Holding_Company,AGENCY-Ministry_of_Defence_MOD,vendor_to_agency,0.698,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2026-10-24,CRITICAL — Bid Now
VENDOR-Kforce_Inc.,AGENCY-California_Department_of_,vendor_to_agency,0.902,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-12-30,CRITICAL — Bid Now
VENDOR-Parsons_Corporation,AGENCY-Sacramento_County_—_Purch,vendor_to_agency,0.932,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-10-31,HIGH — Prepare in 30 Days
VENDOR-Iron_Mountain_Inc.,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.947,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-05-07,CRITICAL — Bid Now
VENDOR-Pitney_Bowes_Inc.,AGENCY-General_Services_Administ,vendor_to_agency,0.735,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-08-02,MEDIUM — 60-Day Pipeline
VENDOR-Cintas_Corporation,AGENCY-California_Department_of_,vendor_to_agency,0.802,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-11-26,HIGH — Prepare in 30 Days
VENDOR-Allied_Universal_Security,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.947,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-11-17,HIGH — Prepare in 30 Days
VENDOR-Republic_Services_Inc.,AGENCY-California_Department_of_,vendor_to_agency,0.93,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-05-07,HIGH — Prepare in 30 Days
VENDOR-Allied_Universal_Security,AGENCY-Alameda_County_—_GSA_Purc,vendor_to_agency,0.657,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-12-20,CRITICAL — Bid Now
VENDOR-Parsons_Corporation,AGENCY-Port_of_Los_Angeles,vendor_to_agency,0.625,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-12-05,HIGH — Prepare in 30 Days
VENDOR-Aramark_Corporation,AGENCY-City_of_Calgary_—_Purchas,vendor_to_agency,0.858,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2026-11-09,HIGH — Prepare in 30 Days
VENDOR-ServiceMaster_Clean,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.786,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-04-30,CRITICAL — Bid Now
VENDOR-Fluor_Corporation,AGENCY-Alameda_County_—_GSA_Purc,vendor_to_agency,0.846,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-03-17,HIGH — Prepare in 30 Days
VENDOR-Sodexo_USA,AGENCY-Department_of_Transportat,vendor_to_agency,0.934,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-11-11,MEDIUM — 60-Day Pipeline
VENDOR-ManTech_International,AGENCY-Department_of_Defense_Do,vendor_to_agency,0.941,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2028-01-01,MEDIUM — 60-Day Pipeline
VENDOR-Manpower_Group,AGENCY-Transport_for_NSW,vendor_to_agency,0.91,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-09-22,MEDIUM — 60-Day Pipeline
VENDOR-Unknown/No_Incumbent,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.689,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-02-02,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.649,High,High,Direct — Contract Displacement,"$25,000,000+",2026-10-30,MEDIUM — 60-Day Pipeline
VENDOR-Leidos_Holdings_Inc.,AGENCY-Port_of_Oakland,vendor_to_agency,0.758,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-10-08,HIGH — Prepare in 30 Days
VENDOR-Securitas_Security_Servic,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.636,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-03-10,CRITICAL — Bid Now
VENDOR-ManTech_International,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.946,High,High,Direct — Contract Displacement,"$25,000,000+",2027-08-27,MEDIUM — 60-Day Pipeline
VENDOR-Waste_Management_Inc.,AGENCY-Greater_Vancouver_Transit,vendor_to_agency,0.769,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-05-13,CRITICAL — Bid Now
VENDOR-Fluor_Corporation,AGENCY-Sacramento_County_—_Purch,vendor_to_agency,0.721,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2026-11-26,CRITICAL — Bid Now
VENDOR-Stericycle_Inc.,AGENCY-City_of_Toronto_—_Purchas,vendor_to_agency,0.851,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-05-16,CRITICAL — Bid Now
VENDOR-Fluor_Corporation,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.724,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-02-09,HIGH — Prepare in 30 Days
VENDOR-Allied_Universal_Security,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.698,High,High,Direct — Contract Displacement,"$25,000,000+",2026-09-24,HIGH — Prepare in 30 Days
VENDOR-Leidos_Holdings_Inc.,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.708,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-01-11,MEDIUM — 60-Day Pipeline
VENDOR-Cintas_Corporation,AGENCY-California_Department_of_,vendor_to_agency,0.667,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-08-03,MEDIUM — 60-Day Pipeline
VENDOR-Leidos_Holdings_Inc.,AGENCY-US_Army_Corps_of_Engineer,vendor_to_agency,0.737,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-08-06,HIGH — Prepare in 30 Days
VENDOR-Robert_Half_International,AGENCY-Department_of_Energy_DOE,vendor_to_agency,0.68,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-04-20,MEDIUM — 60-Day Pipeline
VENDOR-Manpower_Group,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.9,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-09-17,CRITICAL — Bid Now
VENDOR-Xerox_Corporation,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.892,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-04-25,CRITICAL — Bid Now
VENDOR-Clean_Harbors_Inc.,AGENCY-Greater_Vancouver_Transit,vendor_to_agency,0.906,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-05-08,MEDIUM — 60-Day Pipeline
VENDOR-Stericycle_Inc.,AGENCY-Queensland_Government_—_Q,vendor_to_agency,0.745,High,High,Direct — Contract Displacement,"$25,000,000+",2027-05-02,HIGH — Prepare in 30 Days
VENDOR-Cintas_Corporation,AGENCY-City_of_Toronto_—_Purchas,vendor_to_agency,0.704,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-01-28,WATCH — 90+ Days
VENDOR-Jacobs_Engineering_Group,AGENCY-Social_Security_Administr,vendor_to_agency,0.936,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-05-15,HIGH — Prepare in 30 Days
VENDOR-Stericycle_Inc.,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.948,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-01-18,WATCH — 90+ Days
VENDOR-SAIC_Science_Application,AGENCY-Province_of_British_Colum,vendor_to_agency,0.763,High,High,Direct — Contract Displacement,"$75,000–$150,000",2026-11-27,HIGH — Prepare in 30 Days
VENDOR-CACI_International,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.81,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2026-11-23,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-City_of_Sydney_—_Procurem,vendor_to_agency,0.752,High,High,Direct — Contract Displacement,"$75,000–$150,000",2028-04-06,MEDIUM — 60-Day Pipeline
VENDOR-Parsons_Corporation,AGENCY-Miami-Dade_County_—_Inter,vendor_to_agency,0.811,High,High,Direct — Contract Displacement,"$25,000,000+",2027-10-14,MEDIUM — 60-Day Pipeline
VENDOR-Waste_Management_Inc.,AGENCY-Los_Angeles_Unified_Schoo,vendor_to_agency,0.84,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-09-12,MEDIUM — 60-Day Pipeline
VENDOR-Leidos_Holdings_Inc.,AGENCY-Alameda_County_—_GSA_Purc,vendor_to_agency,0.836,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-11-02,MEDIUM — 60-Day Pipeline
VENDOR-Parsons_Corporation,AGENCY-City_of_Fairfield_—_Purch,vendor_to_agency,0.681,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-03-09,CRITICAL — Bid Now
VENDOR-ManTech_International,AGENCY-Crown_Commercial_Service_,vendor_to_agency,0.679,High,High,Direct — Contract Displacement,"$25,000,000+",2027-11-14,MEDIUM — 60-Day Pipeline
VENDOR-Iron_Mountain_Inc.,AGENCY-Toronto_Transit_Commissio,vendor_to_agency,0.939,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-12-10,MEDIUM — 60-Day Pipeline
VENDOR-Pitney_Bowes_Inc.,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.842,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-02-13,CRITICAL — Bid Now
VENDOR-Leidos_Holdings_Inc.,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.793,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-09-29,HIGH — Prepare in 30 Days
VENDOR-Leidos_Holdings_Inc.,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.914,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-03-11,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.932,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-01-27,HIGH — Prepare in 30 Days
VENDOR-Coverall_Holding_Company,AGENCY-Highways_England_Nationa,vendor_to_agency,0.77,High,High,Direct — Contract Displacement,"$300,000–$500,000",2026-11-11,CRITICAL — Bid Now
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.693,High,High,Direct — Contract Displacement,"$150,000–$300,000",2028-04-30,WATCH — 90+ Days
VENDOR-Waste_Management_Inc.,AGENCY-Province_of_Ontario_—_Ont,vendor_to_agency,0.626,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-11-01,MEDIUM — 60-Day Pipeline
VENDOR-Securitas_Security_Servic,AGENCY-Port_of_Los_Angeles,vendor_to_agency,0.788,High,High,Direct — Contract Displacement,"$25,000,000+",2026-12-20,MEDIUM — 60-Day Pipeline
VENDOR-Local_Independent_Vendor,AGENCY-Department_of_Veterans_Af,vendor_to_agency,0.707,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-11-22,CRITICAL — Bid Now
VENDOR-Allied_Universal_Security,AGENCY-London_Borough_of_Southwa,vendor_to_agency,0.743,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-02-06,HIGH — Prepare in 30 Days
VENDOR-Coverall_Holding_Company,AGENCY-City_of_Benicia_—_Finance,vendor_to_agency,0.684,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-07-22,WATCH — 90+ Days
VENDOR-ServiceMaster_Clean,AGENCY-City_of_Toronto_—_Purchas,vendor_to_agency,0.778,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-07-25,WATCH — 90+ Days
VENDOR-Republic_Services_Inc.,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.83,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-12-31,CRITICAL — Bid Now
VENDOR-Recall_Holdings,AGENCY-City_of_Phoenix_—_Procure,vendor_to_agency,0.678,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-04-23,MEDIUM — 60-Day Pipeline
VENDOR-Iron_Mountain_Inc.,AGENCY-City_of_Calgary_—_Purchas,vendor_to_agency,0.744,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-04-09,WATCH — 90+ Days
VENDOR-Leidos_Holdings_Inc.,AGENCY-City_of_Vacaville_—_Admin,vendor_to_agency,0.837,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-07-23,WATCH — 90+ Days
VENDOR-SAIC_Science_Application,AGENCY-City_of_Vancouver_—_Procu,vendor_to_agency,0.911,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-05-14,WATCH — 90+ Days
VENDOR-Adecco_Group,AGENCY-Department_of_Veterans_Af,vendor_to_agency,0.867,High,High,Direct — Contract Displacement,"$150,000–$300,000",2028-03-29,WATCH — 90+ Days
VENDOR-Unknown/No_Incumbent,AGENCY-Transport_for_NSW,vendor_to_agency,0.873,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-09-11,HIGH — Prepare in 30 Days
VENDOR-CACI_International,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.785,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-03-15,HIGH — Prepare in 30 Days
VENDOR-Jacobs_Engineering_Group,AGENCY-City_of_Melbourne_—_Procu,vendor_to_agency,0.829,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-09-06,MEDIUM — 60-Day Pipeline
VENDOR-Jacobs_Engineering_Group,AGENCY-City_of_Toronto_—_Purchas,vendor_to_agency,0.696,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-06-22,WATCH — 90+ Days
VENDOR-Republic_Services_Inc.,AGENCY-US_Army_Corps_of_Engineer,vendor_to_agency,0.786,High,High,Direct — Contract Displacement,"$25,000,000+",2027-11-03,HIGH — Prepare in 30 Days
VENDOR-Adecco_Group,AGENCY-City_of_Atlanta_—_Departm,vendor_to_agency,0.731,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2028-05-04,WATCH — 90+ Days
VENDOR-Manpower_Group,AGENCY-Bay_Area_Rapid_Transit_B,vendor_to_agency,0.864,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-02-07,CRITICAL — Bid Now
VENDOR-Cintas_Corporation,AGENCY-Province_of_Ontario_—_Ont,vendor_to_agency,0.874,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-08-24,WATCH — 90+ Days
VENDOR-Cintas_Corporation,AGENCY-Port_of_Los_Angeles,vendor_to_agency,0.819,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2026-11-25,HIGH — Prepare in 30 Days
VENDOR-Pitney_Bowes_Inc.,AGENCY-Transport_for_NSW,vendor_to_agency,0.687,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2026-10-04,HIGH — Prepare in 30 Days
VENDOR-Recall_Holdings,AGENCY-Toronto_Transit_Commissio,vendor_to_agency,0.626,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-09-01,CRITICAL — Bid Now
VENDOR-ServiceMaster_Clean,AGENCY-City_of_Sydney_—_Procurem,vendor_to_agency,0.783,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-07-30,MEDIUM — 60-Day Pipeline
VENDOR-Coverall_Holding_Company,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.87,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-09-10,CRITICAL — Bid Now
VENDOR-Manpower_Group,AGENCY-Department_of_Veterans_Af,vendor_to_agency,0.819,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-07-25,WATCH — 90+ Days
VENDOR-Jan-Pro_Franchising_Inter,AGENCY-Department_of_Veterans_Af,vendor_to_agency,0.731,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-03-06,WATCH — 90+ Days
VENDOR-CACI_International,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.793,High,High,Direct — Contract Displacement,"$25,000–$75,000",2027-04-07,HIGH — Prepare in 30 Days
VENDOR-Clean_Harbors_Inc.,AGENCY-Highways_England_Nationa,vendor_to_agency,0.841,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2028-01-23,HIGH — Prepare in 30 Days
VENDOR-Iron_Mountain_Inc.,AGENCY-City_of_Chicago_—_Departm,vendor_to_agency,0.899,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-08-30,WATCH — 90+ Days
VENDOR-Unknown/No_Incumbent,AGENCY-US_Army_Corps_of_Engineer,vendor_to_agency,0.782,High,High,Direct — Contract Displacement,"$500,000–$1,000,000",2027-09-24,WATCH — 90+ Days
VENDOR-Local_Independent_Vendor,AGENCY-San_Francisco_Municipal_T,vendor_to_agency,0.868,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-01-10,CRITICAL — Bid Now
VENDOR-Waste_Management_Inc.,AGENCY-NASA_—_Procurement_Divisi,vendor_to_agency,0.885,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2028-03-15,MEDIUM — 60-Day Pipeline
VENDOR-Xerox_Corporation,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.64,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-03-18,HIGH — Prepare in 30 Days
VENDOR-Waste_Management_Inc.,AGENCY-Department_of_Homeland_Se,vendor_to_agency,0.747,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-07-08,CRITICAL — Bid Now
VENDOR-Unknown/No_Incumbent,AGENCY-California_Department_of_,vendor_to_agency,0.919,High,High,Direct — Contract Displacement,"$150,000–$300,000",2026-10-17,WATCH — 90+ Days
VENDOR-Coverall_Holding_Company,AGENCY-General_Services_Administ,vendor_to_agency,0.747,High,High,Direct — Contract Displacement,"$25,000,000+",2027-07-11,HIGH — Prepare in 30 Days
VENDOR-Unknown/No_Incumbent,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.601,High,High,Direct — Contract Displacement,"$25,000–$75,000",2028-02-20,HIGH — Prepare in 30 Days
VENDOR-ManTech_International,AGENCY-Sacramento_County_—_Purch,vendor_to_agency,0.935,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-01-13,CRITICAL — Bid Now
VENDOR-Booz_Allen_Hamilton,AGENCY-Department_of_Defense_Do,vendor_to_agency,0.674,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-09-15,CRITICAL — Bid Now
VENDOR-ABM_Industries_Inc.,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.668,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2026-12-16,WATCH — 90+ Days
VENDOR-Stericycle_Inc.,AGENCY-Birmingham_City_Council_—,vendor_to_agency,0.704,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-01-14,MEDIUM — 60-Day Pipeline
VENDOR-Fluor_Corporation,AGENCY-City_of_Toronto_—_Purchas,vendor_to_agency,0.817,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2027-09-03,MEDIUM — 60-Day Pipeline
VENDOR-Clean_Harbors_Inc.,AGENCY-Solano_County_—_Purchasin,vendor_to_agency,0.704,High,High,Direct — Contract Displacement,"$75,000–$150,000",2027-04-20,MEDIUM — 60-Day Pipeline
VENDOR-Unknown/No_Incumbent,AGENCY-Department_of_Defense_Do,vendor_to_agency,0.639,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2027-07-26,CRITICAL — Bid Now
VENDOR-Regional_Service_Provider,AGENCY-NHS_Supply_Chain,vendor_to_agency,0.685,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2028-04-04,CRITICAL — Bid Now
VENDOR-Allied_Universal_Security,AGENCY-Department_of_Homeland_Se,vendor_to_agency,0.741,High,High,Direct — Contract Displacement,"$1,000,000–$2,500,000",2026-09-19,HIGH — Prepare in 30 Days
VENDOR-AECOM_Technology_Corp.,AGENCY-California_Department_of_,vendor_to_agency,0.649,High,High,Direct — Contract Displacement,"$2,500,000–$5,000,000",2026-10-14,MEDIUM — 60-Day Pipeline
VENDOR-Recall_Holdings,AGENCY-University_of_California_,vendor_to_agency,0.776,High,High,Direct — Contract Displacement,"$150,000–$300,000",2027-12-06,MEDIUM — 60-Day Pipeline
VENDOR-Regional_Service_Provider,AGENCY-Transport_for_NSW,vendor_to_agency,0.898,High,High,Direct — Contract Displacement,"$10,000,000–$25,000,000",2027-01-31,WATCH — 90+ Days
VENDOR-Aramark_Corporation,AGENCY-City_of_Houston_—_Office_,vendor_to_agency,0.604,High,High,Direct — Contract Displacement,"$300,000–$500,000",2027-06-27,WATCH — 90+ Days
VENDOR-Manpower_Group,AGENCY-City_of_Seattle_—_Purchas,vendor_to_agency,0.802,High,High,Direct — Contract Displacement,"$5,000,000–$10,000,000",2027-01-23,HIGH — Prepare in 30 Days
