id,label,type,industry,region,country,revenue,employees,ai_score,tier,tech_stack
ENT-00062,ProClean Industries,company,Janitorial & Facilities Maintenance,Greater Toronto Area,CA,$10M–$25M,301–750,74,Tier 2 — 30-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00063,Elite Janitorial Solutions,company,Janitorial & Facilities Maintenance,Greater Melbourne,AU,$100M+,1500+,53,Tier 1 — Immediate Target,"Sage 50, Outlook, Teams"
ENT-00064,Spotless Consulting,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$250K–$500K,1–5,50,Tier 3 — 90-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00065,Guardian Facilities Group,company,Janitorial & Facilities Maintenance,Metro Vancouver,CA,$25M–$50M,6–15,59,Tier 2 — 30-Day Pipeline,"Microsoft 365, Dynamics 365, Power BI"
ENT-00066,Premier Facilities Associates,company,Janitorial & Facilities Maintenance,Harris County,US,$250K–$500K,31–75,61,Tier 1 — Immediate Target,"Paper-based, minimal digital"
ENT-00067,ProClean Solutions,company,Janitorial & Facilities Maintenance,Greater Toronto Area,CA,$25M–$50M,76–150,92,Tier 4 — Watch List,"QuickBooks Desktop, email-only CRM"
ENT-00068,ProClean Group,company,Janitorial & Facilities Maintenance,Fulton County,US,$50M–$100M,16–30,66,Tier 1 — Immediate Target,"SAP, Salesforce, ServiceNow"
ENT-00069,Pristine LLC,company,Janitorial & Facilities Maintenance,Wayne County,US,$10M–$25M,301–750,98,Tier 1 — Immediate Target,"ServiceTitan, Google Workspace"
ENT-00070,BrightStar Co.,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$1M–$2.5M,16–30,80,Tier 1 — Immediate Target,"Microsoft 365, Dynamics 365, Power BI"
ENT-00071,Pristine Enterprises,company,Janitorial & Facilities Maintenance,Los Angeles County,US,$50M–$100M,31–75,99,Tier 2 — 30-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00072,CleanPro Systems,company,Janitorial & Facilities Maintenance,Greater London,UK,$50M–$100M,1500+,47,Tier 1 — Immediate Target,"Sage 50, Outlook, Teams"
ENT-00073,BrightStar Corp.,company,Janitorial & Facilities Maintenance,San Francisco County,US,$25M–$50M,151–300,77,Tier 2 — 30-Day Pipeline,"FieldEdge, QuickBooks Online"
ENT-00074,Premier Facilities Inc.,company,Janitorial & Facilities Maintenance,Greater Melbourne,AU,$25M–$50M,151–300,75,Tier 1 — Immediate Target,"Oracle ERP, Workday, Tableau"
ENT-00075,Spotless Corp.,company,Janitorial & Facilities Maintenance,West Midlands,UK,$50M–$100M,31–75,91,Tier 2 — 30-Day Pipeline,"Sage 50, Outlook, Teams"
ENT-00076,Elite Janitorial Inc.,company,Janitorial & Facilities Maintenance,West Midlands,UK,$500K–$1M,1500+,96,Tier 1 — Immediate Target,"Verizon Connect, Samsara GPS, Excel"
ENT-00077,Pristine Consulting,company,Janitorial & Facilities Maintenance,Miami-Dade County,US,$500K–$1M,151–300,94,Tier 4 — Watch List,"Xero, HubSpot, Slack"
ENT-00078,Guardian Facilities Consulting,company,Janitorial & Facilities Maintenance,Alameda County,US,$10M–$25M,151–300,68,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00079,BrightStar Partners,company,Janitorial & Facilities Maintenance,Greater Sydney,AU,$1M–$2.5M,301–750,96,Tier 4 — Watch List,"Xero, HubSpot, Slack"
ENT-00080,CleanPro Inc.,company,Janitorial & Facilities Maintenance,Cuyahoga County,US,$2.5M–$5M,751–1500,45,Tier 1 — Immediate Target,"Zoho CRM, FreshBooks, Trello"
ENT-00081,Elite Janitorial Group,company,Janitorial & Facilities Maintenance,Cuyahoga County,US,$50M–$100M,301–750,75,Tier 3 — 90-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00082,BrightStar Group,company,Janitorial & Facilities Maintenance,Solano County,US,$5M–$10M,16–30,65,Tier 4 — Watch List,"NetSuite, Zendesk, Asana"
ENT-00083,Stellar Maintenance Inc.,company,Janitorial & Facilities Maintenance,Greater Toronto Area,CA,$1M–$2.5M,751–1500,97,Tier 3 — 90-Day Pipeline,"Custom legacy system, Excel-heavy"
ENT-00084,Spotless Enterprises,company,Janitorial & Facilities Maintenance,Sonoma County,US,$5M–$10M,1–5,98,Tier 2 — 30-Day Pipeline,"FieldEdge, QuickBooks Online"
ENT-00085,Stellar Maintenance Enterprises,company,Janitorial & Facilities Maintenance,Cuyahoga County,US,$10M–$25M,301–750,94,Tier 3 — 90-Day Pipeline,"QuickBooks, Google Workspace, Jobber"
ENT-00086,BrightStar Co.,company,Janitorial & Facilities Maintenance,Marin County,US,$5M–$10M,751–1500,98,Tier 4 — Watch List,"Zoho CRM, FreshBooks, Trello"
ENT-00087,Premier Facilities Co.,company,Janitorial & Facilities Maintenance,Sacramento County,US,$1M–$2.5M,31–75,60,Tier 3 — 90-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00088,Pristine LLC,company,Janitorial & Facilities Maintenance,Orange County,US,$250K–$500K,301–750,65,Tier 4 — Watch List,"ServiceTitan, Google Workspace"
ENT-00089,Stellar Maintenance Enterprises,company,Janitorial & Facilities Maintenance,Denver County,US,$50K–$250K,76–150,60,Tier 4 — Watch List,"Sage 50, Outlook, Teams"
ENT-00090,Stellar Maintenance Enterprises,company,Janitorial & Facilities Maintenance,Greater Sydney,AU,$5M–$10M,301–750,90,Tier 1 — Immediate Target,"NetSuite, Zendesk, Asana"
ENT-00091,Spotless Inc.,company,Janitorial & Facilities Maintenance,Cook County,US,$50M–$100M,6–15,86,Tier 2 — 30-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00092,Spotless Consulting,company,Janitorial & Facilities Maintenance,Alameda County,US,$250K–$500K,31–75,89,Tier 2 — 30-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00093,ProClean Industries,company,Janitorial & Facilities Maintenance,Solano County,US,$50M–$100M,76–150,68,Tier 1 — Immediate Target,"Xero, HubSpot, Slack"
ENT-00094,Apex Clean Inc.,company,Janitorial & Facilities Maintenance,San Francisco County,US,$25M–$50M,6–15,67,Tier 1 — Immediate Target,"Microsoft 365, Dynamics 365, Power BI"
ENT-00095,Elite Janitorial Consulting,company,Janitorial & Facilities Maintenance,Orange County,US,$25M–$50M,6–15,48,Tier 3 — 90-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00096,CleanPro Group,company,Janitorial & Facilities Maintenance,Denver County,US,$50M–$100M,31–75,58,Tier 1 — Immediate Target,"NetSuite, Zendesk, Asana"
ENT-00097,Elite Janitorial Enterprises,company,Janitorial & Facilities Maintenance,Contra Costa County,US,$10M–$25M,6–15,50,Tier 1 — Immediate Target,"FieldEdge, QuickBooks Online"
ENT-00098,Elite Janitorial Partners,company,Janitorial & Facilities Maintenance,Solano County,US,$25M–$50M,16–30,43,Tier 2 — 30-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00099,Spotless Enterprises,company,Janitorial & Facilities Maintenance,Metro Vancouver,CA,$500K–$1M,1–5,69,Tier 3 — 90-Day Pipeline,"Custom legacy system, Excel-heavy"
ENT-00100,Elite Janitorial Solutions,company,Janitorial & Facilities Maintenance,Denver County,US,$5M–$10M,151–300,43,Tier 3 — 90-Day Pipeline,"Paper-based, minimal digital"
ENT-00101,Titan Debris Partners,company,Commercial Hauling & Debris Removal,Greater Toronto Area,CA,$5M–$10M,31–75,79,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00102,Iron Eagle Hauling Partners,company,Commercial Hauling & Debris Removal,Greater Toronto Area,CA,$50K–$250K,301–750,82,Tier 2 — 30-Day Pipeline,"Microsoft 365, Dynamics 365, Power BI"
ENT-00103,Titan Debris Associates,company,Commercial Hauling & Debris Removal,Fulton County,US,$2.5M–$5M,151–300,42,Tier 2 — 30-Day Pipeline,"NetSuite, Zendesk, Asana"
ENT-00104,ProHaul Inc.,company,Commercial Hauling & Debris Removal,Napa County,US,$10M–$25M,151–300,66,Tier 4 — Watch List,"FieldEdge, QuickBooks Online"
ENT-00105,Titan Debris Inc.,company,Commercial Hauling & Debris Removal,Wayne County,US,$50K–$250K,1500+,51,Tier 1 — Immediate Target,"Zoho CRM, FreshBooks, Trello"
ENT-00106,Apex Removal Industries,company,Commercial Hauling & Debris Removal,Metro Vancouver,CA,$100M+,1500+,82,Tier 3 — 90-Day Pipeline,"Paper-based, minimal digital"
ENT-00107,Apex Removal Systems,company,Commercial Hauling & Debris Removal,Miami-Dade County,US,$25M–$50M,751–1500,58,Tier 2 — 30-Day Pipeline,"SAP, Salesforce, ServiceNow"
ENT-00108,Summit Debris Partners,company,Commercial Hauling & Debris Removal,San Diego County,US,$5M–$10M,31–75,49,Tier 2 — 30-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00109,Delta Hauling Group,company,Commercial Hauling & Debris Removal,Denver County,US,$250K–$500K,1–5,40,Tier 1 — Immediate Target,"Custom legacy system, Excel-heavy"
ENT-00110,Delta Hauling Industries,company,Commercial Hauling & Debris Removal,Marin County,US,$1M–$2.5M,1500+,96,Tier 2 — 30-Day Pipeline,"SAP, Salesforce, ServiceNow"
ENT-00111,Titan Debris Corp.,company,Commercial Hauling & Debris Removal,Harris County,US,$250K–$500K,151–300,92,Tier 1 — Immediate Target,"Custom legacy system, Excel-heavy"
ENT-00112,ProHaul Partners,company,Commercial Hauling & Debris Removal,Cuyahoga County,US,$100M+,1500+,43,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00113,Delta Hauling Services,company,Commercial Hauling & Debris Removal,Sonoma County,US,$25M–$50M,301–750,97,Tier 2 — 30-Day Pipeline,"Custom legacy system, Excel-heavy"
ENT-00114,Vanguard Removal Inc.,company,Commercial Hauling & Debris Removal,West Midlands,UK,$5M–$10M,151–300,75,Tier 3 — 90-Day Pipeline,"SAP, Salesforce, ServiceNow"
ENT-00115,Apex Removal Group,company,Commercial Hauling & Debris Removal,Wayne County,US,$500K–$1M,151–300,63,Tier 2 — 30-Day Pipeline,"ServiceTitan, Google Workspace"
ENT-00116,Apex Removal Industries,company,Commercial Hauling & Debris Removal,Maricopa County,US,$50M–$100M,751–1500,67,Tier 1 — Immediate Target,"QuickBooks Desktop, email-only CRM"
ENT-00117,Delta Hauling Industries,company,Commercial Hauling & Debris Removal,Denver County,US,$10M–$25M,151–300,43,Tier 2 — 30-Day Pipeline,"Xero, HubSpot, Slack"
ENT-00118,Titan Debris Systems,company,Commercial Hauling & Debris Removal,Napa County,US,$100M+,1500+,48,Tier 1 — Immediate Target,"Custom legacy system, Excel-heavy"
ENT-00119,Vanguard Removal Services,company,Commercial Hauling & Debris Removal,Sacramento County,US,$250K–$500K,301–750,64,Tier 4 — Watch List,"QuickBooks Desktop, email-only CRM"
ENT-00120,Iron Eagle Hauling Enterprises,company,Commercial Hauling & Debris Removal,Metro Vancouver,CA,$1M–$2.5M,301–750,41,Tier 3 — 90-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00121,Summit Debris Co.,company,Commercial Hauling & Debris Removal,Denver County,US,$500K–$1M,1–5,91,Tier 2 — 30-Day Pipeline,"SAP, Salesforce, ServiceNow"
ENT-00122,ProHaul Industries,company,Commercial Hauling & Debris Removal,Cook County,US,$100M+,1500+,59,Tier 2 — 30-Day Pipeline,"SAP, Salesforce, ServiceNow"
ENT-00123,Titan Debris Services,company,Commercial Hauling & Debris Removal,Maricopa County,US,$50K–$250K,16–30,60,Tier 3 — 90-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00124,Delta Hauling Co.,company,Commercial Hauling & Debris Removal,Harris County,US,$1M–$2.5M,151–300,78,Tier 1 — Immediate Target,"Microsoft 365, Dynamics 365, Power BI"
ENT-00125,Swift Haul LLC,company,Commercial Hauling & Debris Removal,Fulton County,US,$25M–$50M,151–300,95,Tier 2 — 30-Day Pipeline,"Paper-based, minimal digital"
ENT-00126,ProHaul Partners,company,Commercial Hauling & Debris Removal,Sonoma County,US,$2.5M–$5M,751–1500,52,Tier 3 — 90-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00127,ProHaul Consulting,company,Commercial Hauling & Debris Removal,Alameda County,US,$10M–$25M,1–5,78,Tier 3 — 90-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00128,Summit Debris Solutions,company,Commercial Hauling & Debris Removal,Alameda County,US,$10M–$25M,6–15,84,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00129,Vanguard Removal Solutions,company,Commercial Hauling & Debris Removal,San Francisco County,US,$10M–$25M,751–1500,74,Tier 1 — Immediate Target,"Paper-based, minimal digital"
ENT-00130,Vanguard Removal Industries,company,Commercial Hauling & Debris Removal,Calgary Region,CA,$5M–$10M,6–15,55,Tier 1 — Immediate Target,"SAP, Salesforce, ServiceNow"
ENT-00131,ProHaul Industries,company,Commercial Hauling & Debris Removal,West Midlands,UK,$5M–$10M,76–150,63,Tier 4 — Watch List,"QuickBooks, Google Workspace, Jobber"
ENT-00132,Titan Debris Group,company,Commercial Hauling & Debris Removal,Napa County,US,$2.5M–$5M,16–30,54,Tier 3 — 90-Day Pipeline,"QuickBooks Desktop, email-only CRM"
ENT-00133,Swift Haul Partners,company,Commercial Hauling & Debris Removal,Metro Vancouver,CA,$5M–$10M,31–75,61,Tier 1 — Immediate Target,"Verizon Connect, Samsara GPS, Excel"
ENT-00134,Delta Hauling Corp.,company,Commercial Hauling & Debris Removal,Harris County,US,$2.5M–$5M,76–150,80,Tier 4 — Watch List,"Xero, HubSpot, Slack"
ENT-00135,Apex Removal Industries,company,Commercial Hauling & Debris Removal,Cuyahoga County,US,$5M–$10M,301–750,77,Tier 4 — Watch List,"Zoho CRM, FreshBooks, Trello"
ENT-00136,ProHaul Services,company,Commercial Hauling & Debris Removal,Greater London,UK,$50K–$250K,6–15,56,Tier 1 — Immediate Target,"QuickBooks, Google Workspace, Jobber"
ENT-00137,Patriot Hauling Inc.,company,Commercial Hauling & Debris Removal,Cook County,US,$1M–$2.5M,301–750,55,Tier 4 — Watch List,"Microsoft 365, Dynamics 365, Power BI"
ENT-00138,Vanguard Removal Group,company,Commercial Hauling & Debris Removal,West Midlands,UK,$50M–$100M,301–750,53,Tier 1 — Immediate Target,"Custom legacy system, Excel-heavy"
ENT-00139,Vanguard Removal Associates,company,Commercial Hauling & Debris Removal,Harris County,US,$25M–$50M,6–15,67,Tier 3 — 90-Day Pipeline,"Sage 50, Outlook, Teams"
ENT-00140,Vanguard Removal Consulting,company,Commercial Hauling & Debris Removal,Maricopa County,US,$25M–$50M,151–300,75,Tier 2 — 30-Day Pipeline,"Zoho CRM, FreshBooks, Trello"
ENT-00141,Delta Hauling Group,company,Commercial Hauling & Debris Removal,Alameda County,US,$500K–$1M,16–30,78,Tier 3 — 90-Day Pipeline,"Oracle ERP, Workday, Tableau"
ENT-00142,Patriot Hauling Industries,company,Commercial Hauling & Debris Removal,West Midlands,UK,$10M–$25M,751–1500,88,Tier 3 — 90-Day Pipeline,"BuilderTrend, Procore, DocuSign"
ENT-00143,Delta Hauling Group,company,Commercial Hauling & Debris Removal,Los Angeles County,US,$1M–$2.5M,1500+,56,Tier 2 — 30-Day Pipeline,"Verizon Connect, Samsara GPS, Excel"
ENT-00144,Apex Removal Inc.,company,Commercial Hauling & Debris Removal,San Francisco County,US,$100M+,151–300,41,Tier 1 — Immediate Target,"Verizon Connect, Samsara GPS, Excel"
ENT-00145,Delta Hauling Associates,company,Commercial Hauling & Debris Removal,Solano County,US,$5M–$10M,16–30,48,Tier 1 — Immediate Target,"Sage 50, Outlook, Teams"
ENT-00146,Apex Removal Co.,company,Commercial Hauling & Debris Removal,Greater Melbourne,AU,$50K–$250K,76–150,63,Tier 2 — 30-Day Pipeline,"FieldEdge, QuickBooks Online"
ENT-00147,Swift Haul Co.,company,Commercial Hauling & Debris Removal,Solano County,US,$25M–$50M,1500+,76,Tier 1 — Immediate Target,"QuickBooks Desktop, email-only CRM"
ENT-00148,Patriot Hauling Co.,company,Commercial Hauling & Debris Removal,Greater London,UK,$50M–$100M,1500+,73,Tier 3 — 90-Day Pipeline,"Sage 50, Outlook, Teams"
