file_id,filename,relative_path,category,file_type,size_bytes,size_kb
F-0093,publishing_calendar_2025_2026.csv,CSV/publishing_calendar_2025_2026.csv,CSV Exports,.csv,19097,18.65
F-0094,newsletter_sequencing.csv,CSV/newsletter_sequencing.csv,CSV Exports,.csv,11991,11.71
F-0095,topic_tag_system.csv,CSV/topic_tag_system.csv,CSV Exports,.csv,2242,2.19
F-0096,content_repurposing_map.csv,CSV/content_repurposing_map.csv,CSV Exports,.csv,1206,1.18
F-0097,cross_linking_recommendations.csv,CSV/cross_linking_recommendations.csv,CSV Exports,.csv,891,0.87
F-0098,conversion_funnel_map.csv,CSV/conversion_funnel_map.csv,CSV Exports,.csv,1314,1.28
F-0099,lead_magnet_ideas.csv,CSV/lead_magnet_ideas.csv,CSV Exports,.csv,1240,1.21
F-0100,audience_segmentation.csv,CSV/audience_segmentation.csv,CSV Exports,.csv,2136,2.09
F-0101,solano_county_crm_lead_database.csv,CSV/solano_county_crm_lead_database.csv,CSV Exports,.csv,503486,491.69
F-0102,sector_opportunity_report.csv,CSV/sector_opportunity_report.csv,CSV Exports,.csv,6402,6.25
F-0103,outreach_strategy_appendix.csv,CSV/outreach_strategy_appendix.csv,CSV Exports,.csv,1393,1.36
F-0104,authority_positioning_architecture.md,Markdown/authority_positioning_architecture.md,Markdown Archive,.md,3976,3.88
F-0105,executive_operations_manual.md,Markdown/executive_operations_manual.md,Markdown Archive,.md,6687,6.53
F-0106,field_operations_manual.md,Markdown/field_operations_manual.md,Markdown Archive,.md,4847,4.73
F-0107,client_management_manual.md,Markdown/client_management_manual.md,Markdown Archive,.md,5848,5.71
F-0108,compliance_manual.md,Markdown/compliance_manual.md,Markdown Archive,.md,5199,5.08
F-0109,ai_automation_manual.md,Markdown/ai_automation_manual.md,Markdown Archive,.md,5050,4.93
F-0110,financial_operations_manual.md,Markdown/financial_operations_manual.md,Markdown Archive,.md,4396,4.29
F-0111,essential_forms.md,Markdown/essential_forms.md,Markdown Archive,.md,7092,6.93
F-0112,essential_checklists.md,Markdown/essential_checklists.md,Markdown Archive,.md,3719,3.63
F-0113,solano_county_market_summary.md,Markdown/solano_county_market_summary.md,Markdown Archive,.md,4821,4.71
F-0114,acquisition_opportunity_appendix.md,Markdown/acquisition_opportunity_appendix.md,Markdown Archive,.md,4631,4.52
F-0115,recurring_revenue_opportunity_appendix.md,Markdown/recurring_revenue_opportunity_appendix.md,Markdown Archive,.md,4001,3.91
F-0116,sector_opportunity_report.md,Markdown/sector_opportunity_report.md,Markdown Archive,.md,6187,6.04
F-0117,operational_inefficiency_trends.md,Markdown/operational_inefficiency_trends.md,Markdown Archive,.md,3916,3.82
F-0118,ai_automation_opportunity_analysis.md,Markdown/ai_automation_opportunity_analysis.md,Markdown Archive,.md,5642,5.51
F-0119,outreach_strategy_appendix.md,Markdown/outreach_strategy_appendix.md,Markdown Archive,.md,4066,3.97
